# Station Name: Bondville
# Station Code: BVL
# Station Latitude: 40.050000
# Station Longitude: 88.220000
# Station Altitude: 213.000000
Year	  MO	  DY	 Sta	 0-10cm 	 10-30  	 30-50  	 50-70  	 70-90  	 90-110 	 110-130	 130-150	 150-170	 170-190	 190-200
1981	   2	  19	   1	 37.10  	 74.15  	 79.53  	 78.82  	 76.22  	 74.94  	 72.31  	 73.07  	 71.67  	 58.49  	 27.99
1981	   2	  24	   1	 33.28  	 69.96  	 76.91  	 78.71  	 73.07  	 71.56  	 70.65  	 71.74  	 70.15  	 57.41  	 28.33
1981	   3	   2	   1	 32.37  	 66.66  	 73.27  	 81.26  	 74.33  	 76.89  	 72.69  	 74.85  	 73.16  	 59.72  	 29.18
1981	   3	   9	   1	 31.97  	 64.64  	 71.31  	 78.98  	 76.25  	 73.88  	 72.05  	 72.09  	 71.84  	 57.64  	 28.86
1981	   3	  17	   1	 26.23  	 63.04  	 70.06  	 77.07  	 73.99  	 72.09  	 71.59  	 72.89  	 72.13  	 58.10  	 28.71
1981	   3	  24	   1	 23.31  	 55.11  	 68.14  	 74.75  	 73.20  	 71.19  	 71.01  	 72.85  	 70.36  	 59.08  	 28.16
1981	   3	  31	   1	 24.34  	 55.94  	 68.45  	 79.03  	 74.85  	 72.95  	 70.62  	 73.88  	 71.48  	 57.92  	 28.58
1981	   4	   7	   1	 29.32  	 58.08  	 69.26  	 78.87  	 77.69  	 72.29  	 72.32  	 74.31  	 72.78  	 61.28  	 29.29
1981	   4	  14	   1	 36.30  	 69.09  	 75.25  	 79.81  	 77.65  	 75.07  	 72.98  	 75.08  	 70.81  	 60.31  	 29.28
1981	   4	  17	   1	 34.86  	 67.62  	 74.04  	 81.56  	 78.82  	 78.24  	 75.79  	 78.09  	 76.31  	 60.30  	 30.47
1981	   4	  20	   1	 38.91  	 67.53  	 73.44  	 79.67  	 77.40  	 77.20  	 75.71  	 75.49  	 72.98  	 59.52  	 29.19
1981	   4	  21	   1	 35.40  	 61.34  	 72.53  	 77.94  	 75.19  	 75.58  	 72.09  	 74.77  	 71.22  	 60.19  	 29.09
1981	   4	  23	   1	 36.87  	 67.81  	 76.33  	 79.95  	 78.35  	 78.09  	 75.82  	 77.89  	 73.02  	 61.99  	 30.14
1981	   4	  28	   1	 30.63  	 59.94  	 71.67  	 75.68  	 76.03  	 77.74  	 74.69  	 75.50  	 72.24  	 59.70  	 29.79
1981	   5	   5	   1	 25.66  	 54.34  	 66.37  	 77.98  	 76.36  	 75.29  	 73.27  	 74.51  	 71.98  	 60.68  	 29.75
1981	   5	  12	   1	 38.19  	 67.66  	 73.84  	 80.13  	 77.61  	 75.65  	 74.62  	 74.80  	 72.51  	 59.72  	 29.20
