# Station Name: Dixon Springs-Bare
# Station Code: DXB
# Station Latitude: 37.450000
# Station Longitude: 88.670000
# Station Altitude: 165.000000
Year	  MO	  DY	 Sta	 0-10cm 	 10-30  	 30-50  	 50-70  	 70-90  	 90-110 	 110-130	 130-150	 150-170	 170-190	 190-200
1981	   4	  29	   2	 38.84  	 51.50  	 64.50  	 71.76  	 68.30  	 65.51  	 59.46  	 63.16  	 57.92  	 61.10  	 31.32
1981	   6	   3	   2	 30.49  	 63.36  	 76.80  	 74.81  	 68.47  	 66.79  	 64.24  	 61.68  	 60.10  	 64.38  	 31.21
1981	   6	  30	   2	 29.34  	 45.57  	 58.11  	 63.74  	 61.89  	 57.53  	 55.16  	 54.35  	 52.18  	 55.20  	 28.04
1981	   7	   8	   2	 39.70  	 64.51  	 75.53  	 74.06  	 68.52  	 66.11  	 63.10  	 62.53  	 61.04  	 61.68  	 32.06
1981	   7	  13	   2	 37.38  	 60.62  	 69.82  	 71.53  	 66.18  	 64.42  	 62.54  	 60.03  	 59.32  	 60.00  	 29.90
1981	   7	  28	   2	 35.14  	 64.62  	 75.65  	 73.86  	 67.13  	 63.87  	 62.66  	 60.48  	 61.80  	 60.19  	 30.63
1981	   8	  12	   2	 40.34  	 55.89  	 68.13  	 69.87  	 68.23  	 64.84  	 63.16  	 64.70  	 62.01  	 61.39  	 31.76
1981	   8	  26	   2	 22.73  	 48.78  	 64.89  	 68.94  	 68.78  	 62.18  	 60.97  	 59.38  	 58.03  	 60.97  	 30.47
1981	   9	  16	   2	 29.76  	 47.90  	 64.03  	 69.58  	 65.83  	 64.36  	 61.30  	 64.81  	 62.53  	 63.27  	 32.53
1981	   9	  28	   2	 15.85  	 42.55  	 62.94  	 68.31  	 67.43  	 65.03  	 61.60  	 61.36  	 61.59  	 62.36  	 31.80
1981	  10	  14	   2	 14.16  	 42.27  	 64.04  	 70.17  	 68.85  	 65.65  	 63.15  	 63.95  	 63.99  	 62.88  	 33.39
