# Station Name: Brownstown
# Station Code: BRW
# Station Latitude: 38.950000
# Station Longitude: 88.950000
# Station Altitude: 177.000000
Year	  MO	  DY	 Sta	 0-10cm 	 10-30  	 30-50  	 50-70  	 70-90  	 90-110 	 110-130	 130-150	 150-170	 170-190	 190-200
1981	   4	  30	   3	 28.25  	 33.81  	 41.43  	 41.32  	 61.78  	 48.97  	 48.39  	 52.41  	 50.62  	 49.51  	 27.02
1981	   6	   4	   3	 27.92  	 58.90  	 58.05  	 74.35  	 71.15  	 61.69  	 63.15  	 62.73  	 62.57  	 59.20  	 29.60
1981	   6	  13	   3	 32.36  	 60.05  	 57.43  	 73.33  	 70.41  	 62.43  	 61.91  	 64.37  	 61.56  	 58.26  	 29.13
1981	   6	  23	   3	 33.62  	 59.61  	 57.20  	 71.11  	 70.60  	 62.94  	 61.75  	 64.82  	 62.40  	 57.87  	 28.94
1981	   6	  30	   3	 30.72  	 48.67  	 46.72  	 70.84  	 71.04  	 61.15  	 62.83  	 64.70  	 65.28  	 59.26  	 29.63
1981	   7	   8	   3	 26.14  	 52.19  	 48.12  	 72.01  	 69.61  	 61.73  	 62.89  	 63.50  	 64.72  	 59.17  	 29.59
1981	   7	  28	   3	 20.18  	 63.52  	 64.27  	 74.26  	 67.14  	 59.92  	 60.53  	 60.96  	 61.04  	 58.40  	 29.20
1981	   8	  12	   3	 22.20  	 52.48  	 48.68  	 72.91  	 66.90  	 61.71  	 62.47  	 64.02  	 63.56  	 58.67  	 29.33
1981	   8	  24	   3	 20.29  	 46.58  	 45.21  	 71.61  	 68.14  	 61.55  	 62.07  	 61.28  	 59.76  	 57.83  	 28.92
1981	   9	  16	   3	 30.85  	 58.79  	 53.68  	 71.99  	 67.74  	 61.41  	 61.76  	 63.32  	 62.85  	 59.48  	 29.74
1981	   9	  29	   3	 20.80  	 50.90  	 48.20  	 69.18  	 69.49  	 63.14  	 64.61  	 59.00  	 62.41  	 56.36  	 28.18
1981	  10	  14	   3	 21.67  	 42.38  	 43.46  	 67.48  	 64.94  	 59.48  	 59.22  	 58.57  	 56.19  	 55.97  	 27.99
1981	  10	  27	   3	 38.72  	 60.99  	 57.46  	 75.90  	 68.65  	 62.30  	 62.09  	 63.60  	 61.69  	 59.67  	 29.84
1981	  11	  13	   3	 31.98  	 61.37  	 55.76  	 75.39  	 70.70  	 63.12  	 62.48  	 62.94  	 60.57  	 61.73  	 30.87
1981	  12	   1	   3	 21.64  	 58.94  	 55.35  	 71.56  	 65.80  	 57.79  	 59.49  	 58.59  	 57.61  	 57.75  	 28.88
1981	  12	  29	   3	 34.47  	 64.60  	 65.55  	 77.82  	 75.04  	 63.66  	 62.81  	 65.46  	 64.51  	 60.90  	 30.45
1982	   1	  26	   3	 35.01  	 69.86  	 52.10  	 73.51  	 68.22  	 60.45  	 60.07  	 62.97  	 61.46  	 61.20  	 30.60
1982	   2	  24	   3	 40.93  	 66.05  	 60.48  	 63.55  	 65.86  	 59.77  	 59.19  	 59.75  	 58.33  	 56.66  	 28.33
1982	   3	  15	   3	 53.12  	 69.38  	 66.22  	 77.12  	 69.71  	 63.81  	 63.97  	 65.00  	 63.47  	 60.33  	 30.17
1982	   3	  30	   3	 35.96  	 65.84  	 63.12  	 77.05  	 70.75  	 62.24  	 64.04  	 64.86  	 62.90  	 60.81  	 30.41
1982	   4	  16	   3	 44.79  	 63.13  	 61.08  	 77.56  	 72.21  	 64.64  	 64.43  	 67.23  	 64.13  	 62.88  	 31.44
1982	   4	  27	   3	 27.87  	 55.44  	 51.75  	 70.36  	 66.11  	 58.30  	 59.48  	 59.95  	 58.22  	 56.68  	 28.34
1982	   5	  13	   3	 20.96  	 35.61  	 37.20  	 55.76  	 55.86  	 51.05  	 51.70  	 50.50  	 49.91  	 49.08  	 24.54
1982	   5	  20	   3	 11.85  	 32.71  	 44.58  	 73.69  	 71.82  	 64.54  	 65.95  	 66.11  	 64.73  	 62.30  	 31.15
1982	   5	  26	   3	 28.63  	 32.11  	 40.73  	 47.44  	 48.04  	 42.50  	 42.92  	 43.50  	 42.93  	 41.20  	 20.60
1982	   6	  14	   3	 26.05  	 51.56  	 51.01  	 71.65  	 68.36  	 61.35  	 62.04  	 61.89  	 62.23  	 60.03  	 30.02
1982	   6	  29	   3	 35.18  	 54.90  	 51.76  	 72.52  	 69.45  	 64.13  	 64.70  	 64.34  	 64.53  	 61.90  	 30.95
1982	   7	  13	   3	 36.15  	 57.41  	 59.29  	 73.00  	 66.95  	 62.18  	 61.90  	 62.23  	 61.43  	 58.45  	 29.23
1982	   7	  30	   3	 26.51  	 53.10  	 55.96  	 75.47  	 71.55  	 64.99  	 64.67  	 66.03  	 64.32  	 61.75  	 30.87
1982	   8	  10	   3	 19.37  	 34.20  	 44.94  	 72.75  	 70.51  	 65.77  	 66.18  	 65.35  	 64.59  	 60.30  	 30.15
1982	   8	  31	   3	 29.79  	 43.43  	 39.17  	 70.71  	 69.70  	 64.56  	 63.62  	 64.69  	 63.45  	 60.20  	 30.10
1982	   9	  14	   3	 36.50  	 52.58  	 49.92  	 71.02  	 69.17  	 63.75  	 65.30  	 65.67  	 65.77  	 60.29  	 30.14
1982	   9	  28	   3	 33.13  	 57.51  	 57.55  	 77.63  	 71.89  	 65.98  	 65.63  	 66.17  	 66.13  	 62.20  	 31.10
1982	  10	  26	   3	 37.33  	 56.39  	 58.64  	 77.77  	 69.94  	 63.89  	 66.18  	 65.29  	 63.75  	 61.24  	 30.62
1982	  11	  29	   3	 43.25  	 66.34  	 66.14  	 75.10  	 70.17  	 62.85  	 62.83  	 64.21  	 62.25  	 60.00  	 30.00
1982	  12	  13	   3	 39.62  	 64.23  	 68.62  	 79.58  	 71.82  	 66.13  	 66.71  	 66.80  	 65.08  	 62.59  	 31.29
1982	  12	  28	   3	 44.98  	 71.16  	 69.57  	 78.35  	 71.30  	 65.34  	 66.13  	 66.10  	 64.74  	 63.14  	 31.57
1983	   1	  25	   3	 36.43  	 62.18  	 61.75  	 79.60  	 72.28  	 65.77  	 64.38  	 64.76  	 63.97  	 60.90  	 30.45
1983	   2	  22	   3	 35.64  	 62.25  	 65.64  	 79.10  	 73.30  	 67.28  	 66.38  	 66.31  	 65.36  	 62.69  	 31.35
1983	   3	  15	   3	 36.88  	 63.35  	 64.02  	 79.35  	 73.23  	 65.24  	 66.21  	 64.92  	 63.69  	 60.96  	 30.48
1983	   3	  28	   3	 40.83  	 67.86  	 67.87  	 80.18  	 74.53  	 67.31  	 66.60  	 66.02  	 63.90  	 63.48  	 31.74
1983	   4	  12	   3	 41.69  	 72.68  	 71.73  	 80.32  	 76.12  	 66.36  	 69.17  	 68.33  	 66.98  	 64.38  	 32.19
1983	   4	  26	   3	 32.49  	 61.15  	 60.96  	 79.63  	 73.21  	 65.66  	 66.75  	 66.95  	 64.34  	 60.93  	 30.47
1983	   5	  16	   3	 42.66  	 66.75  	 66.98  	 81.91  	 75.01  	 67.96  	 67.78  	 67.39  	 66.69  	 62.60  	 31.30
1983	   5	  31	   3	 34.69  	 58.93  	 56.83  	 74.28  	 74.08  	 65.16  	 64.84  	 65.68  	 63.97  	 61.56  	 30.78
1983	   6	  13	   3	 31.78  	 56.83  	 56.92  	 78.31  	 73.45  	 66.63  	 67.18  	 66.64  	 62.60  	 62.35  	 31.17
1983	   6	  27	   3	 29.09  	 39.86  	 47.17  	 76.15  	 77.29  	 66.69  	 67.76  	 66.56  	 66.25  	 62.52  	 31.26
1983	   7	  11	   3	 24.88  	 42.90  	 47.68  	 72.88  	 73.58  	 65.91  	 67.75  	 65.49  	 63.97  	 61.50  	 30.75
1983	   7	  26	   3	 10.68  	 15.36  	 28.21  	 65.95  	 72.01  	 65.66  	 66.12  	 66.94  	 64.22  	 62.17  	 31.09
1983	   8	  15	   3	  0.57  	  8.93  	 12.46  	 49.96  	 61.61  	 65.04  	 63.94  	 65.12  	 61.15  	 59.99  	 30.00
1983	   8	  29	   3	  7.16  	 13.98  	 19.47  	 47.67  	 62.27  	 64.49  	 65.85  	 65.48  	 62.31  	 62.69  	 31.34
1983	   9	  12	   3	 19.69  	 20.16  	 22.67  	 49.17  	 59.97  	 62.22  	 64.91  	 63.96  	 58.62  	 59.24  	 29.62
1983	   9	  27	   3	 13.06  	 27.20  	 23.83  	 48.43  	 61.55  	 64.03  	 66.30  	 66.64  	 62.05  	 62.36  	 31.18
1983	  10	  25	   3	 30.93  	 62.05  	 65.97  	 74.90  	 69.42  	 62.55  	 64.35  	 63.66  	 62.46  	 60.52  	 30.26
1983	  11	  30	   3	 36.53  	 65.39  	 68.29  	 75.57  	 71.38  	 64.70  	 64.11  	 64.89  	 62.53  	 61.83  	 30.91
1983	  12	  29	   3	 31.92  	 60.16  	 58.16  	 71.31  	 69.38  	 62.24  	 63.04  	 63.34  	 60.67  	 60.00  	 30.00
1984	   1	  30	   3	 41.59  	 61.51  	 56.38  	 68.36  	 69.16  	 63.18  	 64.30  	 63.07  	 62.80  	 61.24  	 29.86
1984	   2	  13	   3	999.99  	 66.58  	 63.51  	 72.17  	 67.30  	 60.14  	 62.76  	 60.82  	 59.31  	 59.75  	 29.87
1984	   3	   7	   3	 42.66  	 75.98  	 80.35  	 81.65  	 80.81  	 72.82 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99
1984	   3	  19	   3	 53.43  	 81.50  	 76.65  	 84.51  	 79.12  	 71.63  	 70.44  	 72.63  	 73.27  	 68.52  	 32.21
1984	   4	   2	   3	 46.36  	 73.38  	 76.82  	 86.39  	 76.72  	 70.03  	 72.17  	 73.93  	 74.12  	 69.56  	 31.95
1984	   4	  19	   3	 42.94  	 72.95  	 75.10  	 87.30  	 77.80  	 71.18  	 72.77  	 72.95  	 74.26  	 68.30  	 32.66
1984	   4	  30	   3	 46.05  	 77.94  	 76.83  	 84.60  	 75.81  	 70.72  	 71.09  	 73.22  	 74.23  	 67.66  	 32.12
1984	   5	  18	   3	 38.33  	 68.07  	 67.05  	 85.00  	 79.88  	 70.96  	 72.17  	 73.84  	 74.77  	 68.45  	 32.22
1984	   6	   4	   3	 34.98  	 64.13  	 63.10  	 84.53  	 76.30  	 70.49  	 72.74  	 74.61  	 74.80  	 67.22  	 32.67
1984	   6	  14	   3	 27.13  	 52.78  	 54.38  	 79.72  	 75.67  	 71.25  	 73.22  	 73.41  	 75.39  	 68.33  	 32.94
1984	   6	  27	   3	 20.40  	 42.08  	 56.90  	 82.24  	 76.58  	 73.93  	 75.29  	 76.37  	 75.51  	 69.14  	 35.64
1984	   7	  16	   3	999.99  	 18.33  	 28.61  	 69.73  	 74.90  	 73.83  	 74.11  	 75.84  	 77.28  	 69.01  	 34.47
1984	   7	  30	   3	  8.72  	 16.57  	 23.34  	 62.46  	 65.34  	 72.47  	 75.21  	 75.72  	 73.92  	 71.18  	 34.69
1984	   8	  16	   3	  8.78  	 16.54  	 23.13  	 58.52  	 61.79  	 69.76  	 74.04  	 76.00  	 73.82  	 70.42  	 34.88
1984	   8	  30	   3	  9.55 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99
1984	   9	  12	   3	 27.68  	 33.46  	 21.99  	 55.87  	 60.09  	 61.43  	 69.89  	 71.43  	 69.48  	 68.81  	 33.90
1984	   9	  26	   3	 34.49  	 67.84  	 67.05  	 80.35  	 60.97  	 61.69  	 69.70  	 74.00  	 74.00  	 68.31  	 33.69
1984	  10	  29	   3	 38.94  	 72.01  	 76.25  	 87.19  	 76.78  	 69.22  	 71.68 -	999.99 -	999.99 -	999.99 -	999.99
1984	  11	  29	   3	 43.72 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99
1985	   1	   2	   3	999.99  	 77.11  	 80.69  	 86.69  	 77.17  	 70.27  	 72.42  	 75.02  	 75.22  	 67.40  	 33.70
1985	   3	  19	   3	 43.78  	 73.20  	 72.28  	 84.98  	 76.67  	 71.10  	 72.80  	 75.23  	 74.24  	 67.63  	 33.65
1985	   3	  26	   3	 37.90  	 70.74  	 66.77  	 84.50  	 77.36  	 72.85  	 73.58  	 76.23  	 75.70  	 68.88  	 33.81
1985	   4	  15	   3	 39.09  	 80.73  	 78.88  	 87.48  	 78.75  	 72.13  	 73.98  	 75.44  	 76.43  	 68.55  	 34.34
1985	   4	  30	   3	 28.92  	 58.28  	 57.68  	 83.36  	 76.71  	 72.12  	 73.45  	 74.84  	 75.11  	 68.46  	 34.13
1985	   5	  15	   3	 34.10  	 62.81  	 61.42  	 82.17  	 76.33  	 72.55  	 72.69  	 75.40  	 75.60  	 68.05  	 33.53
1985	   5	  28	   3	 25.20  	 53.71  	 54.37  	 81.07  	 76.95  	 72.37  	 72.37  	 75.76  	 74.56  	 67.52  	 33.89
1985	   6	  12	   3	 32.94  	 69.68  	 66.90  	 83.97  	 77.02  	 72.26  	 72.85  	 75.63  	 75.44  	 68.95  	 33.58
1985	   6	  27	   3	 25.70  	 57.95  	 57.75  	 83.84  	 77.06  	 73.04  	 73.78  	 75.66  	 75.92  	 69.89  	 34.17
1985	   7	  15	   3	 19.94  	 52.88  	 54.62  	 80.63  	 77.28  	 73.59  	 74.33  	 75.74  	 75.87  	 68.77  	 34.12
1985	   7	  30	   3	 16.17  	 40.06  	 48.99  	 78.32  	 76.58  	 73.89  	 73.02  	 75.30  	 75.30  	 68.79  	 34.06
1985	   8	  16	   3	 22.14  	 56.40  	 53.49  	 77.83  	 75.98  	 71.55  	 72.74  	 73.47  	 75.05  	 68.18  	 33.76
1985	   8	  28	   3	 26.51  	 62.56  	 60.97  	 80.82  	 75.64  	 71.99  	 72.52  	 76.44  	 74.51  	 68.07  	 34.00
1985	   9	  11	   3	 19.48  	 50.32  	 52.46  	 80.29  	 74.23  	 72.10  	 72.50  	 72.63  	 70.70  	 69.04  	 33.55
1985	   9	  26	   3	 15.10  	 37.15  	 46.68  	 77.04  	 74.72  	 71.62  	 72.01  	 73.80  	 69.37  	 68.57  	 33.26
1985	  10	  15	   3	 15.45  	 26.70  	 41.78  	 74.48  	 73.08  	 71.49  	 71.89  	 73.02  	 69.56  	 67.90  	 33.72
1985	  10	  25	   3	 16.87  	 29.22  	 40.52  	 73.08  	 74.61  	 70.82  	 72.68  	 72.35  	 69.43  	 68.03  	 33.95
1985	  10	  28	   3	 10.50  	 28.32  	 39.32  	 73.86  	 74.86  	 72.20  	 71.26  	 72.13  	 69.33  	 67.79  	 34.20
1985	  11	  21	   3	 32.35  	 72.93  	 79.25  	 85.77  	 75.63  	 71.61  	 71.28  	 75.89  	 73.06  	 67.59  	 33.96
1986	   1	   2	   3	 35.88  	 68.12  	 65.22  	 84.52  	 78.72  	 72.80  	 73.52  	 75.03  	 75.56  	 68.25  	 33.34
1986	   1	  29	   3	 31.80  	 66.12  	 64.94  	 84.43  	 78.53  	 72.09  	 73.01  	 73.67  	 74.59  	 69.47  	 33.75
1986	   2	  26	   3	 39.29  	 76.61  	 76.68  	 88.73  	 78.07  	 73.17  	 72.37  	 73.70  	 75.29  	 68.60  	 34.53
1986	   4	   1	   3	 35.44  	 65.12  	 64.13  	 83.99  	 78.22  	 73.05  	 71.41  	 72.72  	 74.69  	 67.15  	 33.25
1986	   4	  18	   3	 16.63  	 48.70  	 53.84  	 80.01  	 76.58  	 72.04  	 73.22  	 74.47  	 74.34  	 67.88  	 34.44
1986	   4	  30	   3	 13.57  	 30.76  	 47.68  	 79.32  	 76.97  	 72.60  	 74.89  	 76.23  	 76.30  	 69.11  	 34.59
1986	   5	  14	   3	 12.25  	 21.98  	 32.70  	 72.99  	 76.27  	 73.73  	 72.86  	 75.34  	 74.87  	 68.83  	 34.75
1986	   5	  29	   3	 24.67  	 23.46  	 31.30  	 71.80  	 75.26  	 72.20  	 73.73  	 73.33  	 75.46  	 68.74  	 33.81
1986	   6	  17	   3	  8.82  	 18.13  	 25.79  	 65.75  	 71.80  	 71.53  	 73.81  	 73.54  	 72.67  	 68.97  	 34.49
1986	   6	  30	   3	 26.55  	 13.02  	 21.28  	 54.35  	 61.89  	 66.96  	 67.82  	 67.77  	 65.67  	 62.54  	 33.54
1986	   7	   2	   3	 26.55 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99
1986	   7	  15	   3	 24.28 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99
1986	   7	  29	   3	 21.41 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99
1986	   8	  13	   3	 17.97  	 23.22  	 25.22  	 54.45  	 58.22  	 61.75  	 63.88  	 65.41  	 63.82  	 61.02  	 30.15
1986	   8	  27	   3	 13.70  	 18.34  	 24.93  	 58.40  	 63.71  	 68.08  	 70.30  	 71.31  	 70.50  	 67.48  	 33.84
1986	   9	  15	   3	 14.83  	 21.38  	 23.20  	 57.12  	 61.57  	 66.76  	 70.27  	 71.55  	 68.92  	 68.58  	 34.06
1986	   9	  29	   3	 11.74  	 19.30  	 23.15  	 57.29  	 61.48  	 65.12  	 69.30  	 71.46  	 69.51  	 68.97  	 34.31
1986	  10	  28	   3	 30.21  	 66.53  	 65.33  	 75.62  	 62.72  	 65.93  	 69.27  	 70.81  	 72.94  	 67.87  	 34.23
1986	  11	  24	   3	 29.80  	 63.41  	 62.02  	 80.15  	 63.94  	 65.07  	 69.96  	 70.62  	 67.45  	 67.51  	 33.86
1986	  12	  29	   3	 34.92  	 65.56  	 66.27  	 84.82  	 76.88  	 70.70  	 72.06  	 70.11  	 72.32  	 66.66  	 33.33
1987	   1	  28	   3	 55.06  	 67.68  	 67.42  	 85.38  	 78.73  	 71.37  	 72.55  	 73.08  	 73.54  	 69.33  	 33.71
1987	   2	  25	   3	 36.58  	 69.69  	 70.35  	 87.38  	 79.06  	 71.14  	 72.46  	 74.11  	 75.56  	 67.91  	 34.05
