# Station Name: Orr Center (Perry)
# Station Code: ORR
# Station Latitude: 39.800000
# Station Longitude: 90.830000
# Station Altitude: 206.000000
Year	  MO	  DY	 Sta	 0-10cm 	 10-30  	 30-50  	 50-70  	 70-90  	 90-110 	 110-130	 130-150	 150-170	 170-190	 190-200
1981	   5	   6	   4	 24.93  	 44.64  	 61.71  	 67.43  	 66.77  	 67.27  	 67.08  	 68.46  	 71.71  	 71.76  	 35.88
1981	   5	  11	   4	 33.37  	 65.60  	 71.03  	 73.93  	 74.57  	 77.04  	 73.28  	 76.23  	 76.34  	 75.13  	 37.56
1981	   5	  14	   4	 35.76  	 60.80  	 67.29  	 66.27  	 68.23  	 70.03  	 67.25  	 68.99  	 69.76  	 69.75  	 34.87
1981	   6	  18	   4	 34.06  	 58.26  	 65.22  	 71.00  	 69.13  	 71.01  	 70.27  	 70.24  	 72.83  	 70.73  	 35.36
1981	   7	   9	   4	 30.48  	 60.65  	 70.50  	 71.25  	 71.98  	 74.98  	 72.32  	 74.41  	 73.51  	 71.68  	 35.84
1981	   7	  28	   4	 25.73  	 69.90  	 73.94  	 75.59  	 72.42  	 71.65  	 71.78  	 72.75  	 73.35  	 71.39  	 35.70
1981	   8	  12	   4	 32.76  	 56.66  	 68.24  	 69.16  	 70.69  	 71.81  	 70.26  	 61.06  	 74.32  	 72.49  	 36.24
1981	   8	  27	   4	 21.49  	 39.62  	 63.41  	 69.27  	 71.49  	 71.73  	 71.32  	 70.55  	 71.60  	 72.46  	 36.23
1981	   9	  14	   4	 18.93  	 44.75  	 59.63  	 65.24  	 67.93  	 69.89  	 71.27  	 69.75  	 71.51  	 68.98  	 34.49
1981	   9	  29	   4	 18.39  	 29.52  	 55.31  	 65.20  	 67.74  	 64.76  	 67.34  	 70.08  	 72.62  	 71.22  	 35.61
1981	  10	  15	   4	 36.46  	 51.74  	 55.69  	 65.59  	 67.42  	 68.22  	 70.82  	 73.35  	 72.43  	 75.06  	 37.53
1981	  10	  29	   4	 21.97  	 48.60  	 58.01  	 63.20  	 66.24  	 67.11  	 71.47  	 70.73  	 73.43  	 75.14 -	999.99
1981	  11	  16	   4	 34.57  	 52.93  	 56.64  	 62.17  	 64.83  	 66.05  	 69.00  	 68.65  	 74.48  	 70.81  	 35.40
1981	  12	   1	   4	 34.96  	 61.93  	 63.72  	 50.22  	 60.51  	 65.57  	 68.12  	 70.02  	 74.42  	 69.52  	 34.76
1981	  12	  30	   4	 28.60  	 60.02  	 63.81  	 61.80  	 63.24  	 64.98  	 67.38  	 69.87  	 73.50  	 73.95  	 36.98
1982	   1	  27	   4	 35.74  	 55.38  	 61.03  	 64.79  	 60.95  	 61.87  	 63.76  	 64.65  	 70.58  	 67.80  	 33.90
1982	   2	  11	   4	 51.21  	 60.60  	 65.57  	 63.77  	 63.80  	 65.47  	 68.16  	 70.82  	 73.63  	 73.43  	 36.71
1982	   2	  25	   4	 48.17  	 58.71  	 59.25  	 55.72  	 58.95  	 57.06  	 59.99  	 62.95  	 63.73  	 64.24  	 32.12
1982	   3	  16	   4	 49.46  	 71.44  	 70.31  	 67.97  	 67.27  	 70.54  	 70.62  	 69.57  	 75.18  	 71.35  	 35.67
1982	   3	  31	   4	 37.66  	 63.56  	 68.43  	 70.03  	 73.28  	 70.97  	 70.30  	 72.13  	 73.98  	 72.66  	 36.33
1982	   4	  14	   4	 39.23  	 64.31  	 69.94  	 70.64  	 73.31  	 71.41  	 70.26  	 69.68  	 74.54  	 70.48  	 35.24
1982	   4	  27	   4	 37.48  	 63.31  	 69.95  	 71.92  	 75.51  	 74.81  	 73.07  	 73.87  	 76.46  	 75.28  	 37.64
1982	   5	  13	   4	 15.24  	 33.51  	 65.51  	 71.66  	 72.28  	 71.60  	 73.14  	 75.26  	 74.82  	 74.29  	 37.14
1982	   5	  27	   4	 37.87 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99
1982	   6	  15	   4	 21.86 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99
