# Station Name: De Kalb
# Station Code: DEK
# Station Latitude: 41.850000
# Station Longitude: 88.850000
# Station Altitude: 265.000000
Year	  MO	  DY	 Sta	 0-10cm 	 10-30  	 30-50  	 50-70  	 70-90  	 90-110 	 110-130	 130-150	 150-170	 170-190	 190-200
1981	   5	  21	   5	 25.01  	 62.43  	 72.41  	 68.23  	 69.59  	 64.53  	 59.85  	 60.87  	 51.03  	 47.78  	 23.89
1981	   6	  15	   5	 36.81  	 62.83  	 71.77  	 70.11  	 67.74  	 62.72  	 58.47  	 58.11  	 51.16  	 47.09  	 23.54
1981	   7	   9	   5	 23.73  	 65.42  	 67.02  	 63.56  	 63.82  	 59.71  	 55.74  	 56.73  	 50.58  	 47.79  	 23.90
1981	   7	  29	   5	 31.22  	 64.77  	 62.41  	 61.27  	 60.68  	 53.80  	 49.69  	 53.03  	 47.74  	 46.23  	 23.12
1981	   8	  13	   5	 23.69  	 63.86  	 64.79  	 62.05  	 58.76  	 54.29  	 48.11  	 52.38  	 48.36  	 48.08  	 24.04
1981	   8	  27	   5	 22.88  	 61.90  	 65.37  	 61.78  	 60.38  	 53.29  	 45.94  	 50.97  	 47.60  	 44.31  	 22.16
1981	   9	  17	   5	 20.56  	 62.64  	 63.23  	 60.38  	 55.69  	 52.85  	 45.46  	 50.51  	 46.68  	 44.89  	 22.44
1981	   9	  30	   5	 33.46  	 70.55  	 68.52  	 64.43  	 62.89  	 55.41  	 48.89  	 53.18  	 49.00  	 46.15  	 23.08
1981	  10	  16	   5	 40.09  	 63.63  	 67.42  	 61.70  	 58.76  	 53.96  	 48.01  	 54.79  	 52.55  	 49.78  	 24.89
1981	  10	  30	   5	 30.34  	 64.98  	 67.92  	 64.13  	 61.12  	 53.70  	 49.13  	 53.62  	 48.06  	 47.25  	 23.62
1981	  11	  18	   5	 33.65  	 63.07  	 67.55  	 63.13  	 60.25  	 54.30  	 57.39  	 56.22  	 55.46  	 54.17  	 27.08
1981	  12	   2	   5	 35.04  	 67.74  	 67.53  	 64.28  	 63.30  	 55.26  	 56.72  	 54.59  	 48.12  	 46.61  	 23.31
1981	  12	  31	   5	 35.48  	 69.28  	 61.18  	 61.63  	 59.76  	 52.87  	 48.52  	 52.52  	 51.45  	 50.71  	 25.36
1982	   1	  28	   5	 29.90  	 63.21  	 60.58  	 59.50  	 53.14  	 48.37  	 45.39  	 47.43  	 43.69  	 41.64  	 20.82
1982	   2	  26	   5	 53.69  	 52.59  	 49.99  	 49.23  	 50.16  	 44.12  	 44.96  	 43.03  	 38.99  	 40.65  	 20.32
1982	   3	  17	   5	 43.87  	 79.43  	 67.35  	 60.79  	 69.63  	 59.71  	 56.53  	 56.46  	 50.01  	 46.21  	 23.11
1982	   3	  31	   5	 30.36  	 70.77  	 71.53  	 70.50  	 68.01  	 57.95  	 55.82  	 53.33  	 47.46  	 46.39  	 23.20
1982	   4	  15	   5	 34.76  	 58.31  	 57.88  	 55.62  	 54.14  	 45.44  	 44.96  	 42.39  	 38.13  	 37.85  	 18.92
1982	   4	  29	   5	 31.25  	 67.17  	 64.52  	 65.11  	 68.50  	 55.01  	 53.07  	 51.73  	 47.19  	 45.42  	 22.71
1982	   5	  14	   5	 18.84  	 54.67  	 64.06  	 64.61  	 62.70  	 57.50  	 57.15  	 53.39  	 49.55  	 46.94  	 23.47
1982	   5	  28	   5	 39.84  	 66.23  	 67.16  	 64.34  	 62.63  	 55.33  	 56.98  	 52.70  	 47.63  	 46.34  	 23.17
1982	   6	  16	   5	 29.22  	 64.05  	 68.80  	 64.85  	 63.89  	 57.10  	 58.39  	 54.84  	 49.66  	 48.13  	 24.07
1982	   7	   1	   5	 35.26  	 62.71  	 66.75  	 64.17  	 62.20  	 56.38  	 54.65  	 52.12  	 46.58  	 46.30  	 23.15
1982	   7	  15	   5	 23.50  	 57.31  	 61.86  	 58.97  	 59.43  	 50.84  	 49.10  	 45.34  	 42.38  	 41.43  	 20.72
1982	   7	  28	   5	 32.42  	 61.87  	 71.63  	 69.90  	 71.40  	 57.78  	 57.35  	 53.70  	 47.73  	 47.58  	 23.79
1982	   8	  12	   5	 27.90  	 56.49  	 67.84  	 64.53  	 65.09  	 58.85  	 56.05  	 53.94  	 47.67  	 46.46  	 23.23
1982	   9	   3	   5	 26.86  	 59.14  	 64.48  	 63.06  	 61.98  	 54.39  	 48.63  	 53.52  	 49.68  	 47.73  	 23.87
1982	   9	  16	   5	 21.33  	 54.41  	 61.70  	 58.72  	 58.60  	 52.60  	 46.56  	 50.41  	 47.65  	 46.71  	 23.35
1982	  10	   1	   5	 19.85  	 55.32  	 62.08  	 58.86  	 56.49  	 50.51  	 46.89  	 51.24  	 46.65  	 44.22  	 22.11
1982	  10	  29	   5	 28.94  	 60.95  	 67.02  	 62.20  	 61.96  	 54.94  	 49.85  	 53.46  	 49.68  	 46.98  	 23.49
1982	  12	   3	   5	 44.17  	 69.16  	 74.75  	 70.50  	 70.03  	 57.71  	 58.05  	 54.90  	 50.51  	 47.09  	 23.55
1982	  12	  15	   5	 48.65  	 70.11  	 71.89  	 69.73  	 68.54  	 57.70  	 56.73  	 52.32  	 48.85  	 46.46  	 23.23
1982	  12	  30	   5	 34.43  	 63.81  	 71.41  	 67.52  	 66.39  	 60.40  	 56.97  	 55.56  	 49.54  	 45.72  	 22.86
1983	   1	  28	   5	 35.35  	 74.90  	 65.72  	 64.87  	 65.71  	 65.95  	 60.72  	 57.53  	 49.09  	 49.41  	 24.70
1983	   2	  25	   5	 37.92  	 60.53  	 67.63  	 66.69  	 66.06  	 63.77  	 58.09  	 54.74  	 49.83  	 47.22  	 23.61
1983	   3	  18	   5	 44.48  	 67.27  	 66.85  	 65.31  	 66.55  	 63.96  	 63.32  	 55.83  	 49.74  	 47.50  	 23.75
1983	   3	  31	   5	 41.58  	 65.66  	 74.59  	 69.89  	 68.17  	 64.43  	 57.81  	 55.37  	 50.40  	 47.67  	 23.84
1983	   4	  15	   5	 44.25  	 68.04  	 71.79  	 70.82  	 69.24  	 64.17  	 57.88  	 55.17  	 49.79  	 46.86  	 23.43
1983	   4	  28	   5	 31.53  	 53.11  	 69.03  	 67.69  	 68.70  	 63.71  	 56.92  	 53.85  	 49.48  	 46.57  	 23.29
1983	   5	  18	   5	 33.40  	 56.15  	 70.94  	 71.02  	 69.40  	 66.36  	 59.58  	 56.48  	 49.78  	 49.35  	 24.67
1983	   6	   3	   5	 35.37  	 55.99  	 71.53  	 70.56  	 69.94  	 63.06  	 55.83  	 53.60  	 50.84  	 46.44  	 23.22
1983	   6	  16	   5	 31.80  	 47.35  	 65.54  	 63.27  	 64.94  	 60.29  	 55.36  	 53.35  	 48.35  	 46.14  	 23.07
1983	   6	  30	   5	 39.29  	 59.71  	 67.94  	 64.12  	 64.21  	 62.08  	 56.32  	 54.43  	 49.41  	 48.26  	 24.13
1983	   7	  14	   5	 25.27  	 43.55  	 69.24  	 67.24  	 69.09  	 62.13  	 56.38  	 54.60  	 50.65  	 46.79  	 23.39
1983	   8	  18	   5	 21.53  	 51.80  	 64.01  	 63.32  	 60.44  	 60.52  	 47.54  	 53.65  	 48.76  	 46.58  	 23.29
1983	   9	   1	   5	 26.80  	 54.65  	 64.21  	 61.46  	 61.55  	 60.32  	 44.70  	 50.50  	 49.43  	 46.00  	 23.00
1983	   9	  15	   5	 24.71  	 51.62  	 64.72  	 61.05  	 59.92  	 58.14  	 45.09  	 50.15  	 47.74  	 45.65  	 22.83
1983	   9	  30	   5	 28.10  	 56.93  	 66.09  	 65.21  	 63.28  	 60.81  	 45.91  	 51.10  	 50.72  	 46.59  	 23.29
1983	  10	  28	   5	 30.20  	 59.58  	 68.94  	 66.51  	 63.86  	 63.92  	 47.57  	 52.56  	 50.33  	 47.60  	 23.80
1983	  12	   2	   5	 31.44  	 61.15  	 70.86  	 70.98  	 66.87  	 67.07  	 60.09  	 56.10  	 52.03  	 48.08  	 24.04
1984	   1	   1	   5	 17.89  	 67.94  	 61.29  	 62.96  	 62.81  	 64.78  	 56.47  	 56.87  	 49.63  	 46.20  	 23.10
1984	   2	   1	   5	 23.40  	 69.71  	 60.27  	 60.08  	 59.85  	 62.32  	 48.29  	 54.20  	 50.26  	 45.72  	 22.86
1984	   3	   1	   5	 28.31  	 65.11  	 70.00  	 77.00  	 80.88  	 71.90  	 58.25  	 54.05  	 49.86  	 46.74  	 23.37
1984	   3	  15	   5	 41.55  	 43.76  	 40.36  	 41.71  	 44.92  	 42.62  	 34.40  	 32.47  	 28.76  	 26.38  	 13.19
1984	   3	  29	   5	 41.26  	 66.83  	 69.96  	 74.82  	 65.47  	 64.13  	 58.33  	 53.07  	 49.18  	 45.81  	 22.90
1984	   4	  16	   5	 37.85  	 56.03  	 66.59  	 65.66  	 63.16  	 62.56  	 54.92  	 52.04  	 47.64  	 43.55  	 21.78
1984	   4	  27	   5	 32.66  	 58.96  	 73.07  	 71.96  	 71.04  	 68.68  	 62.06  	 58.20  	 51.83  	 48.47  	 24.24
1984	   5	  15	   5	 24.67  	 52.08  	 68.23  	 68.54  	 66.76  	 68.64  	 57.88  	 56.36  	 50.47  	 48.67  	 24.34
1984	   5	  31	   5	 32.85  	 54.18  	 70.72  	 69.17  	 87.59  	 72.34  	 61.55  	 57.41  	 51.09  	 48.89  	 24.45
1984	   6	  13	   5	 27.83  	 53.68  	 82.25  	 85.76  	 88.19  	 85.43  	 75.88  	 72.44  	 48.90  	 49.56  	 34.35
1984	   6	  29	   5	 28.52  	 45.17  	 59.09  	 62.89  	 63.09  	 63.59  	 56.93  	 54.55  	 49.70  	 45.87  	 22.93
1984	   7	  16	   5	 20.89  	 27.80  	 62.28  	 62.13  	 61.50  	 61.15  	 47.82  	 54.98  	 50.02  	 45.46  	 22.73
1984	   7	  31	   5	 20.06  	 31.23  	 52.17  	 57.72  	 59.36  	 57.64  	 43.24  	 52.03  	 48.72  	 46.41  	 23.20
1984	   8	  15	   5	 13.46  	 12.41  	 51.91  	 56.16  	 57.57  	 56.66  	 43.43  	 48.92  	 47.23  	 45.53  	 22.77
1984	   8	  31	   5	 20.87  	 24.65  	 58.64  	 55.61  	 55.25  	 58.35  	 45.02  	 47.45  	 46.39  	 44.99  	 22.49
1984	   9	  17	   5	 27.03  	 40.30  	 61.85  	 59.51  	 58.93  	 58.01  	 45.27  	 48.73  	 49.50  	 45.64  	 22.82
1984	   9	  28	   5	 35.43  	 40.16  	 63.74  	 63.31  	 58.58  	 58.67  	 45.16  	 52.98  	 48.83  	 49.59  	 24.80
1984	  10	  24	   5	 37.81  	 64.51  	 73.75  	 72.54  	 69.89  	 62.01  	 53.76  	 53.76  	 53.98  	 53.91  	 25.14
1984	  10	  31	   5	 43.97  	 65.20  	 66.91  	 63.70  	 62.20  	 59.26  	 48.41  	 53.25  	 53.53  	 48.13  	 23.45
1984	  11	  15	   5	 37.42  	 64.59  	 73.77  	 71.38  	 73.69  	 69.74  	 64.06  	 64.89  	 57.65  	 52.20  	 25.16
1984	  11	  30	   5	 40.03  	 64.01  	 71.23  	 70.51  	 74.99  	 69.36  	 62.49  	 62.56  	 56.42  	 51.94  	 24.85
1985	   1	   2	   5	 47.13  	 73.06  	 78.60  	 81.00  	 78.98  	 72.16  	 66.69  	 65.34  	 58.44  	 58.22  	 25.96
1985	   1	  31	   5	 47.92  	 65.08  	 71.11  	 72.97  	 73.49  	 73.64  	 65.31  	 66.50  	 59.65  	 54.00  	 26.00
1985	   2	  28	   5	 37.26  	 92.54  	 83.99  	 80.40  	 78.64  	 75.74  	 66.11  	 65.96  	 60.31  	 54.58  	 27.21
1985	   3	  15	   5	 48.46  	 86.40  	 84.65  	 80.68  	 80.15  	 73.60  	 65.68  	 66.21  	 59.66  	 53.80  	 26.14
1985	   3	  29	   5	 40.07  	 80.21  	 83.72  	 81.20  	 79.68  	 73.35  	 66.57  	 66.57  	 59.94  	 54.60  	 26.46
1985	   4	  15	   5	 35.58  	 74.82  	 83.01  	 80.93  	 80.54  	 74.43  	 68.48  	 67.09  	 60.05  	 55.57  	 27.09
1985	   4	  30	   5	 28.07  	 65.08  	 75.90  	 74.05  	 74.59  	 74.20  	 68.09  	 68.09  	 60.44  	 54.17  	 27.36
1985	   5	  15	   5	 34.16  	 67.31  	 72.02  	 72.33  	 72.10  	 68.93  	 66.85  	 68.01  	 58.98  	 55.74  	 26.64
1985	   5	  31	   5	 21.86  	 44.73  	 68.22  	 70.94  	 71.02  	 68.06  	 63.01  	 67.59  	 60.98  	 55.38  	 27.26
1985	   6	  14	   5	 28.62  	 47.41  	 66.72  	 69.43  	 69.12  	 66.57  	 57.14  	 65.49  	 59.31  	 55.83  	 27.03
1985	   6	  28	   5	 43.81  	 73.14  	 78.87  	 76.00  	 71.35  	 66.86  	 65.47  	 67.48  	 60.43  	 54.62  	 26.77
1985	   7	  15	   5	 36.92  	 60.45  	 70.92  	 70.85  	 68.91  	 66.35  	 57.27  	 67.20  	 59.83  	 54.94  	 27.04
1985	   7	  31	   5	 43.33  	 68.18  	 73.49  	 68.25  	 66.89  	 64.92  	 54.98  	 63.17  	 57.48  	 53.39  	 26.05
1985	   8	  16	   5	 36.85  	 67.42  	 69.51  	 67.50  	 68.73  	 64.02  	 55.99  	 59.15  	 58.38  	 55.52  	 26.41
1985	   8	  30	   5	 36.05  	 65.33  	 69.27  	 68.89  	 66.88  	 63.79  	 53.82  	 57.61  	 57.14  	 54.83  	 27.37
1985	   9	  16	   5	 18.59  	 54.15  	 67.86  	 67.70  	 66.77  	 62.80  	 55.01  	 57.97  	 57.03  	 54.70  	 27.31
1985	   9	  30	   5	 30.56  	 53.21  	 66.43  	 67.20  	 66.12  	 61.36  	 52.82  	 56.90  	 55.13  	 54.59  	 26.60
1985	  10	  15	   5	 31.24 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99
