# Station Name: Monmouth
# Station Code: MON
# Station Latitude: 40.920000
# Station Longitude: 90.730000
# Station Altitude: 229.000000
Year	  MO	  DY	 Sta	 0-10cm 	 10-30  	 30-50  	 50-70  	 70-90  	 90-110 	 110-130	 130-150	 150-170	 170-190	 190-200
1981	   6	  19	   6	 35.11  	 70.74  	 58.96  	 58.84  	 60.24  	 62.97  	 63.50  	 67.23  	 71.71  	 68.95  	 35.02
1981	   6	  24	   6	 37.94  	 71.31  	 63.01  	 61.29  	 62.46  	 64.65  	 71.62  	 69.04  	 74.92  	 72.58  	 36.69
1981	   7	   9	   6	 28.70  	 68.57  	 60.85  	 56.56  	 58.91  	 65.14  	 65.12  	 67.19  	 72.19  	 66.22  	 33.25
1981	   7	  29	   6	 37.86  	 67.42  	 55.51  	 53.82  	 57.23  	 62.78  	 63.52  	 66.65  	 72.42  	 67.05  	 33.53
1981	   8	  13	   6	 28.49  	 60.28  	 49.18  	 53.29  	 55.28  	 60.92  	 61.50  	 65.76  	 68.21  	 67.73  	 33.28
1981	   8	  27	   6	 36.23  	 64.29  	 48.82  	 52.93  	 55.44  	 59.45  	 62.24  	 65.97  	 71.38  	 68.78  	 34.08
1981	   9	  17	   6	 26.25  	 59.02  	 46.97  	 50.91  	 53.14  	 58.37  	 61.97  	 64.57  	 69.61  	 68.93  	 34.25
1981	   9	  30	   6	 31.94  	 61.46  	 49.71  	 48.65  	 47.40  	 54.09  	 56.28  	 62.55  	 64.82  	 62.45  	 31.42
1981	  10	  15	   6	 16.86  	 69.53  	 60.39  	 60.65  	 57.11  	 60.48  	 61.49  	 66.37  	 73.30  	 69.49  	 35.39
1981	  10	  29	   6	 32.01  	 65.52  	 56.47  	 58.41  	 58.07  	 61.76  	 60.93  	 67.46  	 69.34  	 66.98  	 34.74
1981	  11	  17	   6	 32.19  	 67.17  	 56.91  	 59.30  	 60.24  	 64.80  	 65.52  	 68.13  	 71.83  	 68.57  	 34.39
1981	  12	   2	   6	 41.82  	 66.57  	 63.18  	 60.86  	 64.51  	 68.41  	 67.84  	 71.86  	 72.76  	 71.76  	 35.71
1981	  12	  30	   6	 40.09  	 68.07  	 54.95  	 57.29  	 59.38  	 64.28  	 64.52  	 68.86  	 71.72  	 70.20  	 34.81
1982	   1	  27	   6	 59.95  	 71.92  	 55.96  	 60.76  	 56.76  	 64.17  	 63.83  	 66.70  	 71.68  	 66.29  	 34.24
