# Station Name: Peoria
# Station Code: ICC
# Station Latitude: 40.700000
# Station Longitude: 89.520000
# Station Altitude: 207.000000
Year	  MO	  DY	 Sta	 0-10cm 	 10-30  	 30-50  	 50-70  	 70-90  	 90-110 	 110-130	 130-150	 150-170	 170-190	 190-200
1982	  10	  25	   8	 27.00  	 23.61  	 63.54  	 64.48  	 62.88  	 65.42  	 64.82  	 67.92  	 66.10  	 65.20  	 32.60
1982	  12	   4	   8	 61.62  	 65.98  	 80.62  	 75.16  	 70.97  	 71.16  	 73.59  	 73.24  	 73.00  	 72.47  	 36.23
1982	  12	  13	   8	 34.16  	 62.34  	 76.36  	 73.59  	 69.43  	 71.95  	 73.53  	 71.68  	 70.87  	 72.48  	 36.24
1982	  12	  27	   8	 45.48  	 67.04  	 77.66  	 73.01  	 73.40  	 74.65  	 71.93  	 73.30  	 72.01  	 72.41  	 36.20
1983	   1	  25	   8	 36.77  	 54.90  	 77.40  	 75.16  	 68.59  	 72.33  	 73.59  	 74.55  	 72.58  	 69.19  	 34.59
1983	   2	  22	   8	 43.27  	 62.47  	 79.45  	 76.93  	 72.13  	 72.01  	 73.37  	 74.54  	 71.24  	 72.05  	 36.03
1983	   3	  15	   8	 38.98  	 61.10  	 80.06  	 77.29  	 69.54  	 75.79  	 72.95  	 73.06  	 73.10  	 70.67  	 35.34
1983	   3	  28	   8	 52.80  	 67.57  	 83.11  	 78.00  	 72.43  	 78.65  	 73.38  	 74.74  	 74.10  	 73.69  	 36.84
1983	   4	  12	   8	 44.88  	 68.42  	 81.56  	 76.89  	 73.63  	 77.89  	 73.20  	 74.93  	 73.57  	 72.27  	 36.13
1983	   4	  29	   8	 35.42  	 52.33  	 78.27  	 75.24  	 70.75  	 77.94  	 72.55  	 74.45  	 71.24  	 71.55  	 35.77
1983	   5	  16	   8	 38.18  	 63.72  	 78.93  	 76.96  	 73.95  	 80.91  	 74.55  	 75.78  	 74.18  	 71.72  	 35.86
1983	   5	  31	   8	 30.29  	 35.20  	 74.80  	 71.73  	 71.47  	 77.42  	 71.64  	 72.36  	 69.52  	 70.68  	 35.34
1983	   6	  13	   8	 14.34  	  8.40  	 71.92  	 73.55  	 68.47  	 72.29  	 70.93  	 76.06  	 72.13  	 72.08  	 36.04
1983	   6	  27	   8	 11.46  	  4.21  	 60.84  	 68.99  	 65.26  	 69.45  	 67.31  	 72.20  	 69.40  	 68.17  	 34.09
1983	   7	  11	   8	 12.57  	  0.01  	 53.39  	 62.84  	 64.93  	 67.73  	 67.71  	 71.83  	 69.39  	 70.11  	 35.06
1983	   7	  26	   8	  8.13  	  0.00  	 46.95  	 52.69  	 61.25  	 64.68  	 62.56  	 65.34  	 66.74  	 65.20  	 32.60
1983	   8	  15	   8	  3.51  	  0.00  	 43.98  	 53.68  	 61.65  	 65.12  	 63.42  	 65.74  	 66.85  	 67.29  	 33.65
1983	   8	  29	   8	 22.80  	 19.06  	 44.08  	 53.43  	 60.63  	 66.11  	 62.99  	 67.10  	 68.80  	 64.36  	 32.18
1983	   9	  12	   8	 15.17  	 10.02  	 43.80  	 52.26  	 59.21  	 66.10  	 62.02  	 67.08  	 67.07  	 65.95  	 32.97
1983	   9	  27	   8	 33.84  	 55.51  	 74.89  	 68.61  	 63.20  	 66.66  	 66.84  	 67.00  	 67.69  	 67.49  	 33.75
1983	  10	  25	   8	 35.55  	 53.28  	 71.63  	 66.37  	 61.61  	 65.93  	 63.99  	 67.98  	 66.49  	 68.28  	 34.14
1983	  11	  29	   8	 85.76  	 72.95  	 86.75  	 93.51  	 85.51  	 87.58  	 83.58  	 89.92  	 87.44  	 83.99  	 41.79
1983	  12	  27	   8	999.99  	 80.25  	 67.88  	 88.26  	 77.94  	 84.73  	 84.73  	 82.83  	 81.47  	 81.88  	 38.83
1984	   2	   1	   8	999.99  	 86.84  	 62.21  	 85.88  	 77.31  	 77.72  	 82.89  	 84.93  	 82.89  	 77.58  	 38.65
1984	   3	   1	   8	 42.09  	 72.18  	 77.39  	 90.55  	 87.94  	 90.82  	 90.82  	 85.34  	 85.75  	 82.18  	 41.02
1984	   3	  14	   8	 44.55  	 63.77  	 75.68  	 88.00  	 80.11  	 84.82  	 84.68  	 84.68  	 84.26  	 81.35  	 41.02
1984	   3	  26	   8	 54.08  	 81.93  	 88.04  	 91.93  	 88.32  	 90.13  	 83.18  	 86.65  	 84.15  	 80.54  	 40.97
1984	   4	  16	   8	 51.43  	 84.36  	 86.87  	 95.81  	 86.59  	 90.78  	 83.38  	 86.73  	 84.78  	 84.92  	 41.90
1984	   4	  26	   8	 45.80  	 77.75  	 86.21  	 94.11  	 88.33  	 93.13  	 85.37  	 89.46  	 87.62  	 84.52  	 42.40
1984	   5	  14	   8	 39.08  	 59.31  	 80.83  	 87.95  	 82.64  	 87.81  	 85.02  	 88.23  	 87.67  	 83.48  	 41.39
1984	   5	  29	   8	 46.36  	 80.57  	 89.06  	 92.68  	 88.36  	 91.98  	 86.69  	 87.95  	 84.46  	 82.93  	 42.44
1984	   6	  12	   8	 38.05  	 54.38  	 86.22  	 88.78  	 89.20  	 92.05  	 86.50  	 88.78  	 85.65  	 83.95  	 43.61
1984	   6	  26	   8	 21.73  	 17.41  	 64.40  	 77.16  	 78.85  	 84.04  	 85.44  	 87.82  	 87.54  	 82.07  	 43.42
1984	   7	  17	   8	 27.33  	 10.21  	 59.77  	 62.34  	 75.48  	 82.90  	 79.33  	 89.33  	 89.76  	 83.47  	 44.16
1984	   7	  31	   8	 18.32  	  7.79  	 58.05  	 61.91  	 72.62  	 79.62  	 76.90  	 82.90  	 82.19  	 81.76  	 43.66
1984	   8	  17	   8	 10.82  	  1.25  	 53.84  	 58.89  	 68.72  	 77.24  	 79.41  	 79.84  	 81.57  	 82.01  	 42.01
1984	   8	  29	   8	 12.30  	  1.49  	 53.97  	 59.30  	 67.52  	 76.03  	 76.61  	 80.64  	 79.92  	 83.24  	 41.26
1984	   9	  12	   8	 25.54  	 30.82  	 56.68  	 60.27  	 67.02  	 76.64  	 75.20  	 78.65  	 81.09  	 79.51  	 40.55
1984	   9	  27	   8	 24.67  	 21.55  	 57.75  	 60.89  	 65.59  	 76.56  	 75.99  	 78.56  	 77.42  	 78.70  	 40.56
1984	  11	   1	   8	 54.02  	 84.84  	 94.74  	 92.62  	 87.67  	 91.34  	 89.50  	 89.50  	 85.54  	 83.00  	 42.42
1984	  11	  30	   8	 46.36  	 75.51  	 96.00  	 96.14  	 89.31  	 93.44  	 90.88  	 90.74  	 87.46  	 83.20  	 43.23
1984	  12	  31	   8	 58.39  	 85.16  	 94.14  	 91.05  	 88.38  	 91.61  	 90.07  	 88.38  	 85.16  	 81.23  	 42.58
1985	   2	   1	   8	 27.67  	 64.25  	 79.39  	 83.70  	 78.98  	 82.73  	 82.31  	 87.32  	 84.54  	 82.17  	 41.02
1985	   3	   1	   8	 63.02  	 84.50  	 93.29  	 90.64  	 86.45  	 91.48  	 88.82  	 90.08  	 84.92  	 81.15  	 41.90
1985	   3	  14	   8	 49.61  	 86.22  	 93.89  	 94.46  	 89.49  	 94.89  	 90.20  	 91.48  	 87.07  	 84.51  	 43.39
1985	   3	  26	   8	 46.04  	 68.38  	 86.92  	 88.48  	 81.26  	 92.02  	 90.18  	 90.61  	 85.51  	 82.82  	 43.96
1985	   4	  16	   8	 44.91  	 68.07  	 90.32  	 90.03  	 84.15  	 94.76  	 93.76  	 91.46  	 86.58  	 83.43  	 42.65
1985	   4	  30	   8	 19.89  	 34.23  	 83.41  	 86.97  	 80.41  	 85.97  	 87.40  	 90.11  	 87.11  	 83.12  	 42.99
1985	   5	  14	   8	 19.79  	 17.03  	 81.38  	 85.11  	 81.52  	 81.81  	 83.53  	 90.72  	 87.84  	 84.25  	 42.92
