# Station Name: Springfield
# Station Code: LLC
# Station Latitude: 39.520000
# Station Longitude: 89.620000
# Station Altitude: 177.000000
Year	  MO	  DY	 Sta	 0-10cm 	 10-30  	 30-50  	 50-70  	 70-90  	 90-110 	 110-130	 130-150	 150-170	 170-190	 190-200
1982	   7	  22	   9	 35.35  	 64.97  	 68.19  	 71.42  	 70.68  	 71.10  	 72.86  	 70.57  	 73.81  	 77.67  	 38.83
1982	   7	  29	   9	 17.42  	 60.01  	 66.99  	 72.03  	 71.14  	 70.38  	 73.33  	 69.81  	 74.68  	 77.34  	 38.67
1982	   8	  11	   9	 31.48  	 64.23  	 69.32  	 72.39  	 72.29  	 70.76  	 80.87  	 70.86  	 74.43  	 77.83  	 38.92
1982	   9	   1	   9	 34.10  	 60.21  	 66.26  	 72.48  	 72.45  	 71.96  	 73.46  	 70.49  	 74.51  	 77.05  	 38.52
1982	   9	  15	   9	 30.34  	 62.26  	 66.47  	 72.44  	 71.66  	 71.08  	 73.11  	 69.52  	 73.04  	 76.38  	 38.19
1982	   9	  29	   9	 18.34  	 55.84  	 67.23  	 71.99  	 71.69  	 69.93  	 71.05  	 70.26  	 72.22  	 75.13  	 37.56
1982	  10	  27	   9	 27.81  	 61.62  	 69.40  	 70.44  	 70.51  	 70.33  	 72.20  	 68.90  	 73.52  	 77.06  	 38.53
1982	  11	  29	   9	 35.17  	 65.24  	 69.55  	 73.74  	 72.64  	 74.14  	 73.04  	 71.31  	 76.08  	 74.99  	 37.49
1982	  12	  13	   9	 33.89  	 65.22  	 75.62  	 76.17  	 83.29  	 78.07  	 75.99  	 76.26  	 77.66  	 77.63  	 38.82
1982	  12	  27	   9	 46.88  	 70.50  	 78.94  	 76.39  	 76.89  	 78.62  	 75.94  	 76.39  	 77.09  	 76.77  	 38.38
1983	   1	  25	   9	 36.64  	 63.30  	 67.84  	 73.47  	 71.57  	 72.82  	 76.03  	 74.78  	 75.50  	 74.76  	 37.38
1983	   2	  22	   9	 32.58  	 64.82  	 70.78  	 72.77  	 71.66  	 72.02  	 74.84  	 75.65  	 77.87  	 76.62  	 38.31
1983	   3	  15	   9	 31.58  	 64.68  	 69.27  	 72.28  	 71.64  	 71.48  	 73.18  	 74.18  	 75.57  	 76.51  	 38.25
1983	   3	  28	   9	 33.70  	 66.51  	 71.12  	 76.41  	 74.63  	 75.85  	 73.66  	 75.88  	 75.36  	 75.52  	 37.76
1983	   4	  12	   9	 35.15  	 69.95  	 80.51  	 78.97  	 77.12  	 78.75  	 77.80  	 77.30  	 78.82  	 78.88  	 39.44
1983	   4	  26	   9	 22.36  	 63.14  	 71.72  	 77.45  	 77.21  	 78.37  	 77.10  	 74.18  	 79.16  	 77.18  	 38.59
1983	   5	  16	   9	 32.98  	 66.23  	 72.51  	 75.94  	 77.64  	 78.89  	 77.21  	 76.50  	 78.27  	 75.90  	 37.95
1983	   5	  31	   9	 23.65  	 57.54  	 66.90  	 74.66  	 72.56  	 73.99  	 75.29  	 76.10  	 76.82  	 75.62  	 37.81
1983	   6	  13	   9	 18.53  	 54.38  	 68.47  	 74.25  	 75.44  	 78.23  	 76.83  	 77.23  	 78.93  	 77.98  	 38.99
1983	   6	  27	   9	 15.94  	 48.81  	 61.51  	 70.18  	 72.51  	 74.11  	 75.10  	 77.07  	 76.45  	 78.23  	 39.12
1983	   7	  11	   9	 15.78  	 52.02  	 63.65  	 68.20  	 69.77  	 70.72  	 72.04  	 72.56  	 75.85  	 75.84  	 37.92
1983	   7	  26	   9	 16.50  	 43.48  	 56.43  	 64.07  	 64.23  	 69.79  	 73.97  	 71.69  	 75.85  	 77.19  	 38.60
1983	   8	  15	   9	  9.14  	 42.07  	 52.70  	 57.77  	 56.30  	 60.44  	 69.87  	 68.24  	 72.52  	 77.15  	 38.57
1983	   8	  29	   9	 17.28  	 43.67  	 53.48  	 58.51  	 56.96  	 58.20  	 67.68  	 68.16  	 71.61  	 75.46  	 37.73
