# Station Name: Belleville
# Station Code: FRM
# Station Latitude: 38.520000
# Station Longitude: 89.880000
# Station Altitude: 133.000000
Year	  MO	  DY	 Sta	 0-10cm 	 10-30  	 30-50  	 50-70  	 70-90  	 90-110 	 110-130	 130-150	 150-170	 170-190	 190-200
1982	   5	  13	  10	 27.64  	 42.39  	 44.39  	 54.88  	 80.05  	 76.12  	 77.73  	 75.44  	 75.91  	 75.73  	 38.65
1982	   5	  26	  10	 17.33  	 54.95  	 40.24  	 56.39  	 82.20  	 80.38  	 80.33  	 78.32  	 78.70  	 82.92  	 40.95
1982	   6	  15	  10	 30.92  	 55.34  	 52.69  	 60.79  	 81.61  	 78.40  	 70.08  	 78.89  	 80.14  	 78.44  	 39.71
1982	   6	  29	  10	 27.34  	 51.38  	 49.71  	 61.25  	 83.64  	 81.53  	 82.12  	 78.96  	 79.78  	 81.13  	 39.75
1982	   7	  13	  10	 26.63  	 58.66  	 55.37  	 64.16  	 84.18  	 80.92  	 83.51  	 80.84  	 80.59  	 81.39  	 40.50
1982	   7	  29	  10	 31.80  	 42.83  	 44.07  	 58.13  	 81.15  	 76.99  	 77.95  	 76.36  	 75.85  	 77.98  	 39.60
1982	   8	  11	  10	 33.64  	 45.15  	 39.20  	 57.20  	 81.56  	 78.52  	 77.03  	 74.74  	 76.63  	 79.73  	 40.75
1982	   9	   1	  10	 34.29  	 44.76  	 39.55  	 56.40  	 80.41  	 77.33  	 77.30  	 75.59  	 77.23  	 80.51  	 39.97
1982	   9	  15	  10	 31.52  	 51.40  	 46.56  	 58.83  	 79.70  	 71.01  	 75.84  	 75.10  	 75.41  	 78.12  	 39.58
1982	   9	  29	  10	 28.52  	 43.35  	 46.37  	 56.72  	 79.70  	 75.72  	 76.29  	 76.00  	 77.86  	 77.57  	 39.27
1982	  10	  27	  10	 32.41  	 45.17  	 48.62  	 57.49  	 80.55  	 74.08  	 76.78  	 75.95  	 76.35  	 79.62  	 39.78
1982	  12	   1	  10	 38.24  	 51.47  	 56.87  	 65.10  	 80.76  	 77.20  	 78.40  	 75.13  	 77.03  	 78.37  	 40.69
1982	  12	  14	  10	 46.13  	 52.26  	 63.41  	 75.42  	 82.42  	 78.45  	 79.30  	 76.41  	 82.15  	 80.39  	 40.44
1982	  12	  28	  10	 41.85  	 51.66  	 72.29  	 74.40  	 83.32  	 77.05  	 80.45  	 76.91  	 75.90  	 79.07  	 40.17
1983	   1	  27	  10	 42.56  	 53.09  	 63.46  	 75.15  	 84.65  	 84.62  	 83.65  	 82.25  	 81.73  	 83.39  	 41.82
1983	   2	  23	  10	 36.58  	 53.16  	 60.46  	 70.77  	 84.49  	 83.50  	 82.20  	 83.76  	 81.32  	 86.35  	 42.19
1983	   3	  16	  10	 40.89  	 51.67  	 58.53  	 66.08  	 84.65  	 77.54  	 78.75  	 77.68  	 77.26  	 76.89  	 39.69
1983	   3	  29	  10	 43.56  	 56.65  	 68.94  	 75.74  	 87.80  	 80.18  	 80.74  	 78.59  	 80.68  	 81.54  	 42.13
1983	   4	  13	  10	 52.17  	103.23  	 94.29  	 95.87  	102.92  	 99.52  	101.75  	 98.27  	101.31  	 97.59  	 50.15
1983	   4	  27	  10	 42.82  	 54.55  	 61.74  	 69.25  	 85.95  	 82.44  	 83.24  	 80.13  	 80.36  	 83.05  	 41.11
1983	   5	  17	  10	 41.70  	 59.98  	 64.26  	 69.35  	 84.18  	 79.49  	 81.18  	 80.93  	 81.44  	 81.96  	 40.52
1983	   6	   1	  10	 39.41  	 49.96  	 56.71  	 64.71  	 84.83  	 80.99  	 82.00  	 81.27  	 81.24  	 82.72  	 40.01
1983	   7	  19	  10	  3.81  	 32.37  	 45.70  	 57.78  	 74.60  	 61.14  	 68.98  	 66.87  	 73.81  	 74.72  	 37.36
1983	   7	  27	  10	 20.65  	 43.99  	 48.39  	 62.08  	 79.06  	 79.52  	 76.17  	 77.11  	 81.49  	 81.92  	 40.96
1983	   8	  16	  10	 15.66  	 37.05  	 44.46  	 55.77  	 76.66  	 75.95  	 75.64  	 72.38  	 75.48  	 77.21  	 38.61
1983	   8	  30	  10	 16.08  	 29.78  	 43.35  	 58.65  	 78.58  	 77.85  	 76.74  	 74.35  	 78.51  	 82.70  	 41.35
1983	   9	  13	  10	 21.42  	 40.68  	 40.33  	 56.70  	 79.14  	 77.88  	 74.45  	 73.19  	 75.97  	 77.54  	 38.77
1983	   9	  28	  10	 18.53  	 41.85  	 43.26  	 54.99  	 77.30  	 77.64  	 77.19  	 72.11  	 76.67  	 79.34  	 39.67
1983	  10	  26	  10	 33.11  	 62.47  	 64.57  	 66.82  	 79.35  	 79.90  	 77.46  	 75.40  	 80.79  	 77.95  	 38.97
1983	  12	   1	  10	 39.45  	 63.41  	 68.22  	 70.61  	 82.58  	 79.59  	 79.08  	 87.61  	 80.55  	 76.83  	 38.42
1983	  12	  30	  10	 48.03  	 79.11  	 55.56  	 59.82  	 78.56  	 82.67  	 77.92  	 89.34  	 83.16  	 81.01  	 40.51
1984	   1	  30	  10	 42.15  	 85.14  	 60.63  	 62.69  	 77.99  	 80.50  	 78.34  	 85.35  	 82.11  	 78.20  	 39.10
1984	   2	  13	  10	 43.87  	 78.41  	 68.59  	 68.81  	 78.80  	 82.75  	 82.74  	 84.61  	 84.00  	 76.40  	 38.20
1984	   3	   7	  10	 37.62  	 63.70  	 82.62  	 81.54  	 88.03  	 94.24  	 95.05  	100.60  	 99.92  	 91.81  	 45.03
1984	   3	  19	  10	 67.78  	 82.92  	 78.65  	 83.86  	 93.22  	 96.42  	 92.95  	103.24  	 93.08  	 85.33  	 45.87
1984	   4	   3	  10	 46.92  	 81.46  	 80.24  	 83.36  	 94.46  	 96.22  	 96.76  	103.81  	 93.38  	 88.10  	 44.05
1984	   4	  20	  10	 42.00  	 78.41  	 73.65  	 80.46  	 96.10  	 93.65  	 95.69  	103.99  	 94.06  	 89.71  	 47.17
1984	   5	   1	  10	 39.31  	 75.49  	 71.45  	 75.63  	 94.21  	 92.06  	 94.21  	103.77  	 92.73  	 88.15  	 45.42
1984	   5	  18	  10	 39.69  	 67.09  	 63.66  	 71.19  	 90.21  	 91.85  	 92.26  	104.03  	 95.27  	 88.29  	 46.88
1984	   6	   4	  10	 34.23  	 63.94  	 60.81  	 70.61  	 89.40  	 91.04  	 91.04  	100.98  	 92.81  	 88.72  	 46.13
1984	   6	  18	  10	 16.44  	 30.79  	 51.65  	 68.50  	 90.04  	 90.32  	 89.49  	 96.53  	 93.36  	 89.49  	 46.40
