# Station Name: Carbondale
# Station Code: SIU
# Station Latitude: 37.720000
# Station Longitude: 89.230000
# Station Altitude: 137.000000
Year	  MO	  DY	 Sta	 0-10cm 	 10-30  	 30-50  	 50-70  	 70-90  	 90-110 	 110-130	 130-150	 150-170	 170-190	 190-200
1982	  11	  24	  11	 38.48  	 42.94  	 29.59  	 45.75  	 59.25  	 58.58  	 55.02  	 54.27  	 59.95  	 63.34  	 31.67
1982	  12	   1	  11	 40.04  	 55.09  	 43.18  	 49.60  	 61.51  	 60.71  	 57.15  	 57.88  	 63.00  	 63.30  	 31.65
1982	  12	  14	  11	 38.32  	 59.60  	 64.02  	 69.20  	 71.69  	 69.10  	 69.25  	 66.93  	 64.04  	 64.48  	 32.24
1982	  12	  28	  11	 50.15  	 68.61  	 70.29  	 72.25  	 72.94  	 72.66  	 71.14  	 70.62  	 66.97  	 65.86  	 32.93
1983	   1	  26	  11	 45.13  	 62.87  	 70.64  	 71.55  	 74.08  	 72.31  	 73.58  	 70.24  	 67.73  	 64.40  	 32.20
1983	   2	  23	  11	 40.35  	 61.38  	 64.64  	 70.73  	 73.30  	 71.52  	 71.47  	 68.28  	 67.12  	 64.55  	 32.27
1983	   3	  16	  11	 40.42  	 62.80  	 65.35  	 71.31  	 72.55  	 71.45  	 72.66  	 69.30  	 66.28  	 63.78  	 31.89
1983	   3	  29	  11	 45.82  	 63.93  	 73.07  	 71.48  	 73.78  	 74.10  	 71.15  	 66.99  	 66.20  	 64.33  	 32.16
1983	   4	  13	  11	 57.82  	 68.82  	 73.84  	 72.52  	 73.90  	 70.99  	 71.22  	 68.18  	 66.25  	 63.16  	 31.58
1983	   4	  27	  11	 42.18  	 61.50  	 62.67  	 70.85  	 73.83  	 70.26  	 72.32  	 69.20  	 66.69  	 64.01  	 32.00
1983	   5	  17	  11	 46.20  	 64.29  	 74.68  	 71.46  	 75.45  	 72.93  	 73.92  	 70.85  	 67.37  	 64.30  	 32.15
1983	   6	   1	  11	 34.62  	 55.32  	 56.67  	 67.44  	 72.82  	 71.37  	 70.34  	 67.50  	 65.27  	 63.36  	 31.68
1983	   6	  14	  11	 18.32  	 41.97  	 51.22  	 65.42  	 73.08  	 69.50  	 71.81  	 68.59  	 65.73  	 64.38  	 32.19
1983	   6	  28	  11	 32.20  	 30.27  	 38.89  	 56.98  	 68.24  	 67.92  	 68.96  	 69.97  	 66.16  	 64.55  	 32.27
1983	   7	  12	  11	 10.37  	 18.32  	 26.07  	 48.16  	 62.01  	 64.03  	 65.53  	 65.85  	 64.92  	 62.11  	 31.06
1983	   7	  27	  11	 19.55  	 24.82  	 24.17  	 45.64  	 63.78  	 63.47  	 66.23  	 67.85  	 67.92  	 65.46  	 32.73
1983	   8	  16	  11	  1.51  	 12.93  	 17.13  	 24.60  	 59.87  	 60.36  	 61.81  	 63.42  	 65.75  	 64.07  	 32.04
1983	   8	  30	  11	  9.46  	 19.60  	 20.54  	 37.10  	 56.86  	 59.04  	 57.63  	 61.25  	 67.72  	 66.37  	 33.19
1983	   9	  13	  11	 15.73  	 18.02  	 19.14  	 34.50  	 51.30  	 52.77  	 52.93  	 55.32  	 64.15  	 64.18  	 32.09
1983	   9	  28	  11	 14.94  	 19.27  	 19.72  	 32.23  	 52.62  	 52.99  	 52.65  	 56.44  	 64.79  	 65.67  	 32.83
1983	  10	  26	  11	 34.65  	 56.91  	 52.58  	 54.83  	 51.53  	 50.20  	 50.27  	 56.29  	 61.59  	 64.62  	 32.31
1983	  11	  30	  11	 38.70  	 61.94  	 64.72  	 66.77  	 71.97  	 70.15  	 68.63  	 67.61  	 65.45  	 65.60  	 32.80
1983	  12	  30	  11	 35.52  	 65.40  	 53.29  	 58.85  	 68.83  	 69.25  	 69.61  	 67.75  	 65.60  	 65.67  	 32.83
1984	   1	  31	  11	 41.62  	 67.05  	 56.97  	 60.13  	 70.73  	 71.22  	 71.48  	 68.05  	 67.03  	 65.67  	 32.83
1984	   2	  13	  11	 51.93  	 73.70  	 70.32  	 70.11  	 73.53  	 74.82  	 74.73  	 72.50  	 68.40  	 65.23  	 32.62
1984	   3	   9	  11	 45.73  	 76.26  	 99.92  	 91.97  	 83.53  	 83.63  	 85.18  	 80.52  	 76.55  	 74.42  	 35.66
1984	   3	  21	  11	 58.82  	 85.88  	 96.51  	 87.41  	 82.33  	 81.09  	 81.18  	 78.02  	 75.91  	 71.99  	 35.37
1984	   4	   3	  11	 58.85  	 85.76  	 95.74  	 86.53  	 83.37  	 80.68  	 80.01  	 77.42  	 75.70  	 71.48  	 35.55
1984	   4	  20	  11	 48.03  	 68.38  	 69.34  	 85.07  	 83.72  	 81.79  	 82.37  	 79.28  	 76.67  	 72.62  	 36.07
1984	   5	   1	  11	 45.49  	 65.30  	 65.68  	 79.35  	 83.58  	 80.98  	 79.92  	 78.19  	 75.31  	 71.84  	 36.02
1984	   5	  21	  11	 41.99  	 63.08  	 59.37  	 71.89  	 80.31  	 82.95  	 80.31  	 78.74  	 77.08  	 72.58  	 36.48
1984	   6	   4	  11	 20.82  	 51.59  	 55.22  	 67.22  	 79.41  	 80.89  	 81.67  	 79.90  	 77.84  	 74.30  	 36.66
1984	   6	  14	  11	 11.67  	 35.07  	 50.20  	 66.12  	 80.46  	 81.75  	 80.96  	 79.77  	 76.61  	 72.35  	 36.82
1984	   6	  28	  11	 21.81  	 46.83  	 58.59  	 74.08  	 82.77  	 85.46  	 81.94  	 79.25  	 77.08  	 75.36  	 37.68
1984	   7	  17	  11	999.99  	 31.54  	 47.32  	 65.95  	 78.89  	 82.93  	 81.96  	 81.06  	 79.04  	 76.05  	 37.88
1984	   8	   1	  11	  9.63  	 18.66  	 30.60  	 55.37  	 75.02  	 80.73  	 78.81  	 79.03  	 77.92  	 74.73  	 37.77
1984	   8	  16	  11	 17.34  	 34.99  	 30.96  	 50.58  	 84.39  	 74.63  	 76.24  	 81.47  	 79.36  	 77.45  	 39.43
1984	   9	  11	  11	 38.74  	 60.71  	 56.95  	 46.06  	 65.03  	 67.90  	 68.93  	 71.33  	 74.54  	 73.38  	 36.96
1984	   9	  28	  11	 35.71  	 57.10  	 54.51  	 56.42  	 65.22  	 72.11  	 72.73  	 75.18  	 75.39  	 73.48  	 36.64
1984	  11	  27	  11	 52.04 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99
1985	   1	   3	  11	999.99  	 85.00  	 82.77  	 80.48  	 83.24  	 81.35  	 80.27  	 78.38  	 76.42  	 72.71  	 36.52
1985	   1	  28	  11	999.99  	 63.23  	 65.24  	 73.01  	 81.39  	 81.26  	 79.05  	 78.38  	 75.43  	 72.48  	 35.70
1985	   3	  19	  11	 45.99  	 69.48  	 76.54  	 80.34  	 83.87  	 81.65  	 82.69  	 79.44  	 76.47  	 73.63  	 36.75
1985	   3	  28	  11	 45.17  	 68.68  	 76.70  	 79.92  	 83.28  	 82.32  	 80.95  	 78.34  	 76.70  	 72.66  	 37.18
1985	   4	  17	  11	 44.79  	 71.36  	 80.23  	 82.54  	 83.80  	 82.68  	 81.35  	 79.46  	 77.58  	 72.05  	 36.97
1985	   4	  26	  11	 41.12  	 63.18  	 69.41  	 74.61  	 84.06  	 82.76  	 80.50  	 77.42  	 76.67  	 73.86  	 37.20
1985	   5	  13	  11	 45.38  	 70.03  	 81.44  	 82.40  	 84.33  	 82.06  	 80.62  	 79.45  	 78.07  	 73.12  	 36.87
1985	   5	  30	  11	 38.40  	 65.13  	 69.32  	 79.16  	 85.28  	 82.11  	 80.26  	 78.88  	 77.37  	 72.35  	 37.03
1985	   6	  14	  11	 41.36  	 68.66  	 80.71  	 81.05  	 83.38  	 82.55  	 79.47  	 78.51  	 77.15  	 72.49  	 37.14
1985	   6	  28	  11	 39.07  	 62.21  	 64.81  	 73.80  	 83.68  	 82.51  	 81.55  	 77.71  	 77.51  	 72.91  	 37.17
1985	   7	  15	  11	 17.19  	 38.47  	 53.23  	 68.07  	 80.30  	 81.00  	 80.58  	 80.30  	 78.33  	 74.82  	 38.32
1985	   7	  29	  11	 24.06  	 37.86  	 48.00  	 63.91  	 77.66  	 80.23  	 80.02  	 80.51  	 78.77  	 74.54  	 37.48
1985	   8	  15	  11	 42.28  	 62.72  	 65.29  	 73.32  	 73.32  	 84.26  	 80.10  	 79.55  	 77.61  	 72.90  	 37.32
1985	   8	  30	  11	 36.85  	 62.21  	 66.48  	 75.15  	 84.51  	 84.92  	 79.69  	 78.18  	 77.28  	 73.08  	 37.26
1985	   9	  13	  11	 23.44  	 52.23  	 57.83  	 69.78  	 80.70  	 81.32  	 80.42  	 78.49  	 77.18  	 74.21  	 37.31
1985	   9	  27	  11	 17.35  	 39.60  	 53.01  	 65.05  	 77.98  	 79.35  	 78.46  	 78.46  	 77.50  	 72.17  	 36.70
