# Station Name: Olney
# Station Code: OLN
# Station Latitude: 38.730000
# Station Longitude: 88.100000
# Station Altitude: 134.000000
Year	  MO	  DY	 Sta	 0-10cm 	 10-30  	 30-50  	 50-70  	 70-90  	 90-110 	 110-130	 130-150	 150-170	 170-190	 190-200
1982	   7	  23	  12	 15.21  	 50.21  	 60.07  	 67.25  	 63.93  	 63.49  	 64.41  	 64.39  	 62.23  	 61.65  	 30.82
1982	   7	  30	  12	  6.23  	 45.83  	 60.34  	 67.45  	 64.42  	 64.53  	 65.02  	 64.89  	 61.72  	 61.93  	 30.97
1982	   8	  10	  12	  3.33  	 40.26  	 57.98  	 66.65  	 62.96  	 64.28  	 65.44  	 64.80  	 62.64  	 62.29  	 31.14
1982	   8	  31	  12	 19.01  	 45.51  	 57.16  	 67.15  	 64.18  	 63.71  	 65.35  	 64.35  	 62.35  	 62.78  	 31.39
1982	   9	  14	  12	 25.78  	 53.20  	 60.89  	 67.61  	 64.76  	 64.22  	 65.01  	 65.20  	 62.68  	 62.44  	 31.22
1982	   9	  28	  12	 26.25  	 56.20  	 64.86  	 68.82  	 65.10  	 65.23  	 64.67  	 65.11  	 63.01  	 63.73  	 31.86
1982	  10	  26	  12	 23.63  	 55.76  	 64.32  	 68.78  	 65.41  	 65.74  	 66.06  	 66.31  	 63.58  	 63.78  	 31.89
1982	  11	  30	  12	 37.27  	 59.66  	 65.88  	 68.03  	 64.49  	 65.11  	 64.77  	 64.95  	 63.03  	 62.41  	 31.21
1982	  12	  13	  12	 38.55  	 61.32  	 66.93  	 68.92  	 65.04  	 65.86  	 66.14  	 66.73  	 63.97  	 63.80  	 31.90
1982	  12	  28	  12	 50.55  	 54.21  	 66.29  	 68.73  	 64.04  	 65.17  	 65.77  	 65.85  	 62.90  	 62.78  	 31.39
1983	   1	  26	  12	 45.00  	 62.13  	 66.58  	 69.36  	 64.79  	 65.44  	 66.56  	 66.28  	 63.03  	 63.79  	 31.89
1983	   2	  22	  12	 33.98  	 60.46  	 66.01  	 69.54  	 64.89  	 65.37  	 65.58  	 65.77  	 63.17  	 62.91  	 31.45
1983	   3	  16	  12	 38.86  	 61.37  	 66.04  	 70.02  	 65.72  	 65.80  	 66.81  	 66.36  	 63.08  	 62.49  	 31.25
1983	   3	  29	  12	 48.23  	 63.75  	 66.61  	 70.08  	 65.04  	 66.31  	 66.34  	 65.28  	 64.26  	 63.25  	 31.63
1983	   4	  13	  12	 46.82  	 64.93  	 67.03  	 69.88  	 66.27  	 66.01  	 66.79  	 65.79  	 63.27  	 63.43  	 31.71
1983	   4	  26	  12	 31.21  	 59.38  	 64.53  	 69.75  	 65.81  	 65.62  	 66.06  	 65.35  	 62.79  	 63.53  	 31.77
1983	   5	  16	  12	 40.88  	 62.28  	 66.39  	 69.21  	 65.96  	 65.27  	 66.05  	 65.85  	 63.17  	 62.86  	 31.43
1983	   6	   1	  12	 34.45  	 61.06  	 65.75  	 70.21  	 65.12  	 66.00  	 66.00  	 66.16  	 63.78  	 63.28  	 31.64
1983	   6	  13	  12	 27.64  	 56.12  	 63.70  	 69.44  	 65.18  	 65.55  	 66.52  	 65.25  	 63.66  	 62.86  	 31.43
1983	   6	  27	  12	 15.85  	 47.37  	 60.69  	 69.49  	 65.80  	 65.90  	 66.73  	 66.28  	 63.40  	 63.06  	 31.53
1983	   7	  12	  12	  5.63  	 40.56  	 58.51  	 68.43  	 65.19  	 65.35  	 66.75  	 65.38  	 62.82  	 62.64  	 31.32
1983	   7	  27	  12	 11.17  	 38.98  	 56.30  	 67.67  	 64.99  	 65.88  	 65.84  	 65.41  	 62.93  	 63.20  	 31.60
1983	   8	  16	  12	  0.03  	 37.78  	 53.34  	 67.11  	 64.20  	 65.20  	 65.81  	 65.57  	 63.32  	 63.18  	 31.59
1983	   8	  30	  12	 19.95  	 47.15  	 52.62  	 66.20  	 64.21  	 64.64  	 65.11  	 65.02  	 62.92  	 62.87  	 31.43
1983	   9	  12	  12	 27.56  	 45.46  	 53.03  	 67.10  	 65.26  	 65.29  	 65.89  	 66.07  	 62.84  	 62.89  	 31.44
1983	   9	  28	  12	 17.55  	 45.54  	 55.16  	 67.54  	 64.85  	 65.25  	 66.34  	 65.73  	 63.73  	 63.47  	 31.74
1983	  10	  26	  12	 36.63  	 61.45  	 62.63  	 67.34  	 63.89  	 63.40  	 64.26  	 64.03  	 61.68  	 62.24  	 31.12
1983	  11	  30	  12	 41.77  	 63.35  	 64.33  	 69.55  	 65.98  	 65.21  	 65.96  	 66.82  	 63.47  	 63.05  	 31.52
1983	  12	  30	  12	 39.77  	 61.22  	 58.79  	 68.66  	 65.69  	 64.71  	 65.99  	 65.84  	 63.01  	 63.03  	 31.51
1984	   1	  31	  12	 50.95  	 62.96  	 59.78  	 68.23  	 64.99  	 65.28  	 66.65  	 66.79  	 62.97  	 63.35  	 31.68
1984	   2	  14	  12	 54.79  	 64.60  	 63.12  	 68.59  	 65.40  	 65.65  	 66.55  	 66.24  	 63.55  	 63.10  	 31.55
1984	   3	   8	  12	 44.39  	 65.93  	 67.91  	 74.48  	 71.50  	 69.61  	 70.60  	 72.07  	 69.66  	 67.63  	 33.91
1984	   3	  20	  12	 53.19  	 69.27  	 67.12  	 75.05  	 69.41  	 69.64  	 69.64  	 71.23  	 68.01  	 66.79  	 33.65
1984	   4	   4	  12	 60.13  	 68.50  	 67.33  	 74.14  	 69.35  	 68.97  	 70.95  	 72.54  	 68.03  	 67.56  	 33.71
1984	   4	  23	  12	 56.22  	 67.94  	 67.48  	 74.35  	 69.47  	 69.19  	 69.80  	 70.87  	 67.38  	 66.55  	 33.90
1984	   5	   2	  12	 40.35  	 66.14  	 66.98  	 73.98  	 69.22  	 69.31  	 70.20  	 71.04  	 67.77  	 66.70  	 33.54
1984	   5	  22	  12	 36.58  	 64.86  	 65.72  	 74.13  	 70.19  	 70.71  	 70.42  	 72.09  	 68.33  	 67.38  	 34.12
1984	   6	   5	  12	 28.83  	 62.10  	 65.56  	 72.77  	 69.88  	 70.31  	 70.69  	 71.54  	 67.98  	 67.32  	 33.97
1984	   6	  19	  12	 17.64  	 54.42  	 65.57  	 72.87  	 69.48  	 70.48  	 70.63  	 71.86  	 68.34  	 67.29  	 34.45
1984	   7	   2	  12	  9.09  	 47.58  	 67.23  	 72.67  	 69.75  	 71.37  	 74.25  	 71.45  	 68.92  	 66.12  	 34.39
1984	   7	  17	  12	  8.48  	 41.15  	 60.37  	 72.88  	 70.02  	 70.67  	 72.45  	 72.37  	 69.40  	 68.57  	 35.21
1984	   7	  31	  12	  8.15  	 40.48  	 57.76  	 72.66  	 69.80  	 70.38  	 71.72  	 72.22  	 68.75  	 68.32  	 34.70
1984	   8	  14	  12	 10.30  	 41.99  	 59.04  	 72.93  	 70.32  	 70.94  	 72.01  	 72.81  	 69.62  	 68.99  	 35.03
1984	   8	  29	  12	  8.23  	 41.16  	 54.09  	 65.62  	 64.57  	 65.07  	 66.12  	 67.67  	 66.22  	 64.72  	 33.36
1984	   9	  13	  12	 18.27  	 50.68  	 55.61  	 70.95  	 69.25  	 69.66  	 70.13  	 70.95  	 68.33  	 68.00  	 34.68
1984	   9	  27	  12	 29.65  	 62.80  	 66.49  	 73.09  	 68.69  	 68.79  	 69.86  	 70.69  	 68.56  	 67.53  	 34.36
1984	  10	  31	  12	 32.81  	 67.05  	 70.82  	 75.13  	 70.01  	 70.72  	 71.26  	 72.24  	 68.60  	 67.66  	 34.60
1984	  11	  28	  12	 47.35 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99
1985	   1	   4	  12	 32.24  	 67.94  	 71.18  	 74.05  	 69.21  	 69.07  	 70.62  	 70.57  	 66.67  	 66.53  	 33.92
1985	   1	  29	  12	999.99  	 62.95  	 66.24  	 73.49  	 69.90  	 69.57  	 70.96  	 70.46  	 67.92  	 67.13  	 34.36
1985	   3	  20	  12	 34.69  	 65.89  	 68.40  	 74.70  	 70.06  	 70.76  	 71.33  	 71.97  	 68.33  	 67.33  	 34.55
1985	   3	  27	  12	 33.41  	 64.32  	 67.80  	 74.30  	 70.48  	 70.81  	 71.69  	 71.72  	 68.44  	 68.10  	 34.40
1985	   4	  16	  12	 42.21  	 69.70  	 72.05  	 75.07  	 70.33  	 71.34  	 71.78  	 71.88  	 68.45  	 68.08  	 34.60
1985	   4	  25	  12	 27.02  	 63.53  	 67.35  	 74.22  	 70.40  	 70.44  	 71.88  	 72.21  	 68.29  	 67.99  	 34.55
1985	   5	  14	  12	 33.42  	 64.32  	 67.31  	 73.68  	 70.19  	 70.60  	 71.37  	 71.97  	 68.32  	 67.58  	 34.28
1985	   5	  29	  12	 23.29  	 59.43  	 65.52  	 73.49  	 70.06  	 70.26  	 70.73  	 71.74  	 68.38  	 67.84  	 34.79
1985	   6	  13	  12	 27.73  	 63.49  	 67.54  	 73.90  	 70.70  	 70.64  	 72.05  	 72.36  	 67.87  	 67.81  	 34.32
1985	   6	  26	  12	999.99  	 63.54  	 67.31  	 74.01  	 70.48  	 71.35  	 72.43  	 72.23  	 68.12  	 68.22  	 34.35
1985	   7	  14	  12	 27.44  	 58.19  	 65.92  	 73.78  	 69.97  	 70.98  	 71.69  	 72.16  	 68.31  	 68.04  	 34.51
1985	   7	  31	  12	 17.20  	 46.94  	 61.98  	 72.90  	 69.77  	 71.33  	 72.08  	 72.08  	 68.71  	 68.44  	 34.58
1985	   8	  16	  12	 32.97  	 63.77  	 67.70  	 74.13  	 70.02  	 71.10  	 71.57  	 71.50  	 68.38  	 67.77  	 34.66
1985	   8	  29	  12	 25.74  	 60.52  	 66.03  	 73.43  	 69.70  	 70.94  	 71.65  	 71.78  	 68.29  	 67.95  	 34.45
1985	   9	  13	  12	 13.82  	 52.49  	 63.25  	 72.41  	 69.28  	 70.38  	 70.15  	 70.91  	 68.52  	 67.32  	 34.36
1985	   9	  30	  12	 14.43  	 46.68  	 60.80  	 71.69  	 69.13  	 69.76  	 70.62  	 70.82  	 67.70  	 67.37  	 34.42
1985	  10	  16	  12	 20.11  	 46.84  	 59.56  	 72.02  	 69.54  	 70.38  	 70.51  	 70.95  	 68.03  	 68.19  	 34.45
