# Station Name: Freeport
# Station Code: FRE
# Station Latitude: 42.280000
# Station Longitude: 89.670000
# Station Altitude: 265.000000
Year	  MO	  DY	 Sta	 0-10cm 	 10-30  	 30-50  	 50-70  	 70-90  	 90-110 	 110-130	 130-150	 150-170	 170-190	 190-200
1982	   4	  15	  13	 28.21  	 61.21  	 53.20  	 50.84  	 63.20  	 72.48  	 70.75  	 70.72  	 68.81  	 67.74  	 34.74
1982	   4	  28	  13	 19.63  	 53.30  	 49.19  	 48.16  	 64.69  	 71.12  	 73.55  	 72.48  	 67.00  	 66.32  	 34.09
1982	   5	  14	  13	 25.43  	 42.47  	 44.41  	 43.45  	 59.68  	 69.29  	 73.00  	 69.51  	 65.07  	 63.80  	 33.45
1982	   5	  27	  13	 32.53  	 55.58  	 40.27  	 40.57  	 58.67  	 69.95  	 72.44  	 72.34  	 68.25  	 64.89  	 33.58
1982	   6	  14	  13	 31.99  	 55.67  	 52.32  	 44.30  	 59.32  	 68.64  	 71.55  	 70.75  	 65.10  	 65.70  	 33.68
1982	   7	   1	  13	 31.06  	 56.42  	 53.59  	 54.50  	 65.93  	 72.76  	 73.92  	 74.97  	 69.04  	 66.62  	 34.01
1982	   7	  15	  13	 24.57  	 47.47  	 50.01  	 49.51  	 60.06  	 66.47  	 72.23  	 70.96  	 65.79  	 65.19  	 33.44
1982	   7	  28	  13	 18.77  	 47.13  	 48.95  	 49.70  	 61.98  	 72.63  	 73.60  	 71.86  	 67.45  	 66.20  	 33.25
1982	   8	  12	  13	 22.61  	 52.29  	 55.45  	 55.66  	 65.04  	 74.21  	 74.39  	 73.89  	 67.16  	 67.15  	 34.80
1982	   9	   3	  13	 27.62  	 56.01  	 56.17  	 53.80  	 67.30  	 71.82  	 74.23  	 73.49  	 69.90  	 62.62  	 33.52
1982	   9	  16	  13	 25.27  	 54.11  	 52.72  	 53.75  	 65.63  	 72.78  	 72.28  	 70.71  	 64.36  	 65.30  	 32.88
1982	  10	   1	  13	 26.16  	 50.07  	 51.72  	 51.38  	 66.72  	 72.54  	 74.66  	 72.48  	 67.06  	 61.92  	 34.06
1982	  10	  28	  13	 33.65  	 54.20  	 51.67  	 51.22  	 64.07  	 70.53  	 72.38  	 70.54  	 64.57  	 63.47  	 33.76
1982	  12	   3	  13	 48.02  	 54.39  	 53.60  	 54.93  	 75.91  	 73.96  	 74.08  	 70.88  	 68.09  	 67.86  	 34.12
1982	  12	  15	  13	 37.15  	 58.53  	 52.34  	 52.46  	 65.79  	 70.37  	 73.12  	 71.22  	 67.55  	 63.46  	 33.79
1982	  12	  30	  13	 31.18  	 55.33  	 58.21  	 58.26  	 72.43  	 74.30  	 78.22  	 76.46  	 73.95  	 69.20  	 36.04
1983	   1	  28	  13	 25.93  	 61.91  	 41.28  	 43.64  	 59.94  	 69.69  	 70.96  	 70.77  	 65.53  	 64.08  	 32.69
