# Station Name: Rend Lake (Ina)
# Station Code: RND
# Station Latitude: 38.130000
# Station Longitude: 88.920000
# Station Altitude: 130.000000
Year	  MO	  DY	 Sta	 0-10cm 	 10-30  	 30-50  	 50-70  	 70-90  	 90-110 	 110-130	 130-150	 150-170	 170-190	 190-200
1982	   8	   5	  14	  7.98  	 51.91  	 66.74  	 73.07  	 69.45  	 66.55  	 66.24  	 67.72  	 67.00  	 66.48  	 33.24
1982	   8	  10	  14	 11.94  	 48.13  	 66.14  	 72.45  	 70.33  	 66.69  	 65.68  	 67.71  	 66.94  	 67.61  	 33.81
1982	   9	   1	  14	 29.40  	 56.30  	 65.58  	 70.82  	 68.78  	 65.70  	 65.91  	 67.16  	 66.94  	 67.22  	 33.61
1982	   9	  14	  14	 30.31  	 58.85  	 65.16  	 69.79  	 67.01  	 65.31  	 64.39  	 65.97  	 66.92  	 66.90  	 33.45
1982	   9	  29	  14	 13.83  	 52.39  	 67.17  	 70.99  	 68.71  	 65.41  	 65.43  	 67.30  	 67.08  	 67.74  	 33.87
1982	  10	  27	  14	 17.62  	 56.23  	 67.01  	 70.21  	 68.57  	 65.63  	 64.66  	 66.53  	 67.11  	 66.39  	 33.20
1982	  12	   1	  14	 30.43  	 63.38  	 68.75  	 69.80  	 65.63  	 63.71  	 62.58  	 64.64  	 65.61  	 64.60  	 32.30
1982	  12	  14	  14	 39.78  	 64.67  	 71.24  	 71.95  	 68.66  	 65.05  	 64.13  	 65.89  	 65.96  	 64.96  	 32.48
1982	  12	  29	  14	 35.71  	 68.69  	 73.66  	 74.34  	 70.42  	 67.03  	 66.66  	 68.72  	 67.82  	 66.98  	 33.49
1983	   1	  26	  14	 41.80  	 67.46  	 71.96  	 75.66  	 70.53  	 67.75  	 66.89  	 68.58  	 66.98  	 67.90  	 33.95
1983	   2	  23	  14	 33.47  	 67.53  	 72.96  	 74.57  	 70.35  	 68.16  	 67.50  	 67.75  	 67.69  	 66.93  	 33.46
1983	   3	  16	  14	 31.55  	 65.30  	 72.12  	 73.47  	 69.82  	 66.85  	 65.87  	 67.42  	 67.32  	 66.27  	 33.13
1983	   3	  29	  14	 33.07  	 68.97  	 74.12  	 75.18  	 70.64  	 68.16  	 67.74  	 68.06  	 68.53  	 67.39  	 33.69
1983	   4	  13	  14	 37.31  	 69.11  	 73.23  	 74.11  	 70.66  	 67.58  	 66.23  	 67.51  	 67.04  	 67.04  	 33.52
1983	   4	  27	  14	 33.85  	 65.83  	 71.98  	 74.46  	 70.24  	 67.82  	 66.08  	 67.74  	 67.37  	 66.71  	 33.35
1983	   5	  17	  14	 32.80  	 66.98  	 72.50  	 75.06  	 69.83  	 68.35  	 67.72  	 68.77  	 67.49  	 66.78  	 33.39
1983	   6	   1	  14	 30.41  	 58.77  	 69.77  	 73.29  	 70.28  	 67.28  	 66.51  	 68.01  	 68.32  	 66.63  	 33.31
1983	   6	  14	  14	 11.96  	 44.66  	 64.57  	 73.48  	 69.50  	 67.49  	 66.55  	 67.82  	 66.93  	 66.29  	 33.14
1983	   6	  28	  14	 23.80  	 54.64  	 62.87  	 71.79  	 71.68  	 68.28  	 68.04  	 69.30  	 68.74  	 67.04  	 33.52
1983	   7	  12	  14	  9.74  	 41.98  	 59.46  	 65.96  	 65.16  	 66.34  	 66.08  	 67.91  	 67.00  	 65.92  	 32.96
1983	   7	  27	  14	 19.64  	 51.90  	 58.96  	 65.13  	 66.36  	 67.42  	 66.67  	 67.97  	 67.60  	 67.14  	 33.57
1983	   8	  16	  14	  1.20  	 42.71  	 57.62  	 66.36  	 66.39  	 65.85  	 66.56  	 67.95  	 67.61  	 67.09  	 33.55
1983	   8	  30	  14	 17.26  	 48.20  	 57.69  	 66.52  	 66.66  	 67.15  	 66.25  	 67.75  	 67.58  	 67.22  	 33.61
1983	   9	  13	  14	 13.37  	 47.09  	 57.01  	 67.07  	 66.22  	 66.34  	 65.19  	 66.31  	 66.62  	 66.75  	 33.37
1983	   9	  28	  14	 11.38  	 48.50  	 58.36  	 67.62  	 67.97  	 67.40  	 66.48  	 67.32  	 68.16  	 67.17  	 33.59
1983	  10	  26	  14	 29.60  	 67.20  	 72.43  	 74.87  	 69.95  	 68.45  	 66.81  	 68.38  	 68.07  	 66.51  	 33.25
1983	  12	   1	  14	 34.18  	 68.62  	 72.68  	 74.44  	 70.31  	 67.49  	 67.24  	 68.02  	 67.78  	 67.28  	 33.64
1983	  12	  30	  14	 39.29  	 65.32  	 66.51  	 73.48  	 69.11  	 67.91  	 66.65  	 68.57  	 67.61  	 65.84  	 32.92
1984	   1	  31	  14	 43.95  	 70.76  	 71.03  	 74.30  	 69.56  	 68.37  	 66.80  	 67.31  	 67.19  	 66.96  	 33.48
1984	   3	   9	  14	 33.10  	 71.80  	 76.55  	 80.99  	 77.24  	 74.49  	 72.38  	 71.38  	 71.96  	 71.69  	 35.16
1984	   4	   2	  14	 39.65 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99
1984	   4	  20	  14	 36.04  	 70.76  	 76.67  	 78.62  	 74.66  	 72.55  	 71.45  	 71.18  	 72.29  	 70.44  	 35.54
1984	   4	  30	  14	 33.55  	 73.36  	 79.94  	 82.43  	 76.07  	 73.31  	 72.20  	 71.19  	 71.93  	 71.61  	 35.51
1984	   5	  22	  14	 29.16  	 67.49  	 74.59  	 79.54  	 75.89  	 73.25  	 72.28  	 72.66  	 72.55  	 70.88  	 35.41
1984	   6	   5	  14	 27.39  	 65.92  	 73.92  	 78.76  	 75.53  	 72.74  	 71.56  	 71.67  	 72.10  	 71.51  	 35.70
1984	   6	  18	  14	 19.79  	 63.46  	 73.25  	 78.58  	 75.45  	 72.93  	 71.74  	 72.98  	 73.09  	 71.31  	 35.66
1984	   6	  27	  14	 25.16  	 69.44  	 78.93  	 79.50  	 76.28  	 73.59  	 72.66  	 73.63  	 73.06  	 72.33  	 36.88
1984	   7	  16	  14	999.99  	 62.87  	 74.98  	 79.77  	 76.24  	 73.68  	 72.78  	 73.88  	 73.52  	 72.95  	 36.43
1984	   7	  31	  14	 19.12  	 59.38  	 74.39  	 79.54  	 75.81  	 73.29  	 72.85  	 73.78  	 73.50  	 72.65  	 36.51
1984	   8	  15	  14	 23.18  	 60.59  	 64.96  	 77.06  	 75.00  	 70.76  	 71.30  	 74.55  	 74.38  	 72.82  	 36.80
1984	   8	  29	  14	 21.46  	 57.38  	 72.26  	 77.82  	 75.02  	 72.78  	 72.58  	 73.31  	 73.39  	 73.19  	 36.09
1984	   9	  12	  14	 30.75  	 66.60  	 74.67  	 78.73  	 74.52  	 72.32  	 71.87  	 73.38  	 72.85  	 71.83  	 35.67
1984	   9	  26	  14	 32.47  	 68.79  	 76.46  	 79.63  	 75.40  	 73.02  	 71.51  	 72.72  	 73.06  	 71.73  	 36.17
1984	  11	  29	  14	 39.09 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99
1985	   1	   2	  14	999.99  	 74.43  	 80.93  	 80.89  	 76.45  	 73.16  	 72.26  	 72.64  	 72.90  	 71.29  	 36.11
1985	   1	  28	  14	999.99  	 69.11  	 77.05  	 79.44  	 76.06  	 72.09  	 71.17  	 71.36  	 71.54  	 71.17  	 35.75
1985	   3	  20	  14	 36.34  	 70.67  	 77.48  	 80.94  	 77.67  	 72.82  	 72.40  	 72.93  	 72.97  	 72.22  	 35.98
1985	   3	  27	  14	 35.38  	 70.61  	 77.23  	 80.80  	 77.08  	 72.79  	 70.84  	 73.17  	 73.20  	 72.04  	 36.08
1985	   4	  16	  14	 37.56  	 75.27  	 80.29  	 81.91  	 77.08  	 73.54  	 72.22  	 72.86  	 72.90  	 71.81  	 36.26
1985	   4	  25	  14	 35.14  	 69.40  	 77.22  	 80.31  	 76.80  	 73.48  	 72.08  	 72.92  	 73.75  	 71.52  	 36.08
1985	   5	  14	  14	 34.66  	 69.50  	 77.92  	 81.50  	 77.04  	 73.84  	 72.62  	 73.35  	 73.19  	 72.05  	 36.20
