# Station Name: Stelle
# Station Code: STE
# Station Latitude: 40.950000
# Station Longitude: 88.170000
# Station Altitude: 213.000000
Year	  MO	  DY	 Sta	 0-10cm 	 10-30  	 30-50  	 50-70  	 70-90  	 90-110 	 110-130	 130-150	 150-170	 170-190	 190-200
1986	   3	  31	  15	 38.70  	 75.41  	 84.45  	 73.70  	 69.67  	 69.80  	 70.77  	 71.14  	 70.28  	 75.90  	 45.89
1986	   4	  14	  15	 39.10  	 66.54  	 81.14  	 73.35  	 68.97  	 69.34  	 72.62  	 69.82  	 68.36  	 73.96  	 45.07
1986	   4	  28	  15	 26.29  	 61.06  	 80.77  	 73.11  	 70.19  	 70.80  	 71.89  	 70.07  	 70.67  	 74.69  	 44.89
1986	   5	  13	  15	 25.64  	 59.96  	 84.18  	 75.34  	 69.77  	 68.68  	 71.70  	 69.77  	 71.70  	 74.49  	 44.09
1986	   5	  30	  15	 39.74  	 74.99  	 88.52  	 76.45  	 70.48  	 69.50  	 72.43  	 69.26  	 70.24  	 74.62  	 45.24
1986	   6	   9	  15	 40.84  	 75.31  	 90.34  	 77.37  	 70.94  	 69.61  	 70.94  	 68.52  	 69.37  	 75.06  	 44.44
1986	   6	  30	  15	 41.09  	 75.32  	 84.35  	 73.62  	 71.05  	 67.88  	 70.56  	 68.86  	 69.47  	 75.57  	 44.01
1986	   7	  14	  15	 39.14  	 76.91  	 91.17  	 79.80  	 73.46  	 72.43  	 72.62  	 70.94  	 74.02  	 81.19  	 47.03
1986	   7	  28	  15	 20.50  	 39.71  	 73.60  	 74.52  	 72.12  	 72.02  	 72.49  	 71.10  	 70.26  	 81.10  	 47.31
1986	   8	  11	  15	999.99  	 40.98  	 58.65  	 64.75  	 68.16  	 67.68  	 70.97  	 69.99  	 68.53  	 74.99  	 44.99
1986	   8	  25	  15	 18.61  	 25.83  	 49.96  	 52.90  	 59.88  	 67.11  	 70.17  	 69.68  	 69.31  	 74.70  	 45.19
1986	   9	  15	  15	 21.80  	 30.83  	 49.35  	 50.34  	 52.33  	 58.17  	 67.00  	 67.87  	 73.09  	 75.32  	 44.87
1986	   9	  29	  15	 35.64  	 67.52  	 79.92  	 56.84  	 51.32  	 56.97  	 65.80  	 67.28  	 69.73  	 74.39  	 43.70
1986	  10	  28	  15	 42.59  	 77.00  	 88.89  	 75.04  	 66.95  	 67.44  	 70.01  	 69.52  	 71.12  	 74.18  	 44.32
1986	  12	   1	  15	 42.50  	 75.02  	 89.88  	 73.68  	 67.23  	 67.35  	 69.66  	 68.93  	 70.15  	 75.02  	 43.97
1986	  12	  29	  15	 46.12  	 73.57  	 88.40  	 73.20  	 68.42  	 68.79  	 69.89  	 69.89  	 69.52  	 74.06  	 44.75
1987	   1	  27	  15	 24.23  	 73.23  	 87.61  	 73.23  	 66.94  	 67.18  	 68.39  	 67.79  	 69.48  	 73.47  	 43.62
1987	   2	  24	  15	 37.09  	 72.41  	 89.44  	 73.50  	 67.82  	 65.41  	 68.31  	 67.10  	 68.91  	 72.05  	 44.42
1987	   3	  16	  15	 37.12  	 70.63  	 91.79  	 74.34  	 68.27  	 67.90  	 70.50  	 67.78  	 69.63  	 75.82  	 44.91
1987	   3	  30	  15	 33.91  	 65.81  	 89.36  	 72.15  	 66.17  	 67.27  	 69.22  	 67.64  	 70.20  	 74.71  	 43.82
1987	   4	  15	  15	 47.66  	 80.89  	 88.90  	 74.72  	 69.42  	 68.43  	 68.92  	 71.02  	 70.77  	 76.69  	 44.39
1987	   4	  27	  15	 47.66  	 72.91  	 89.53  	 74.89  	 68.69  	 68.32  	 70.80  	 68.19  	 68.57  	 74.40  	 44.39
1987	   5	  11	  15	 18.77  	 39.72  	 81.94  	 75.73  	 68.90  	 68.40  	 71.13  	 70.39  	 71.63  	 77.22  	 45.13
1987	   5	  28	  15	 31.99  	 67.78  	 84.29  	 77.22  	 68.90  	 67.16  	 71.88  	 70.51  	 71.01  	 76.85  	 44.82
1987	   6	  16	  15	 21.41  	 46.98  	 66.09  	 72.41  	 68.69  	 67.82  	 71.05  	 67.95  	 71.05  	 76.88  	 44.89
1987	   6	  29	  15	 26.70  	 62.11  	 78.41  	 72.14  	 70.89  	 68.13  	 71.89  	 70.89  	 70.14  	 76.65  	 46.73
1987	   7	  13	  15	 24.64  	 54.90  	 80.03  	 73.84  	 69.76  	 67.90  	 70.38  	 68.40  	 71.86  	 74.59  	 44.78
1987	   7	  28	  15	 19.13  	 35.57  	 54.05  	 59.14  	 68.07  	 67.45  	 71.92  	 69.19  	 71.17  	 75.14  	 45.20
1987	   8	  11	  15	 29.19  	 60.98  	 73.42  	 66.83  	 67.70  	 69.57  	 70.19  	 69.44  	 71.56  	 77.40  	 45.42
1987	   9	   1	  15	 27.49  	 65.84  	 81.38  	 71.02  	 67.57  	 69.54  	 70.28  	 68.92  	 69.79  	 76.08  	 44.88
1987	   9	  19	  15	 30.10  	 59.76  	 77.62  	 68.19  	 67.82  	 70.05  	 71.05  	 67.82  	 72.54  	 75.64  	 44.89
1987	   9	  28	  15	 26.66  	 59.84  	 75.98  	 67.66  	 65.67  	 68.15  	 68.90  	 69.64  	 71.51  	 75.11  	 45.56
1987	  10	  26	  15	 34.37  	 70.25  	 81.27  	 70.01  	 67.16  	 65.92  	 70.13  	 69.02  	 70.38  	 75.21  	 44.10
1987	  11	  30	  15	 41.50  	 76.72  	 85.10  	 72.90  	 69.58  	 68.84  	 71.18  	 68.35  	 69.33  	 75.49  	 44.65
1987	  12	  30	  15	 40.54  	 77.40  	 85.97  	 74.70  	 67.97  	 69.68  	 71.40  	 70.05  	 70.17  	 73.11  	 44.33
1988	   1	  26	  15	 40.70  	 72.74  	 85.36  	 74.70  	 68.58  	 66.87  	 71.27  	 68.58  	 70.05  	 72.74  	 44.58
1988	   3	   1	  15	 40.70  	 78.36  	 87.22  	 74.66  	 68.51  	 66.91  	 70.85  	 67.65 -	999.99 -	999.99 -	999.99
1988	   3	  17	  15	 38.76  	 71.55  	 85.84  	 73.64  	 69.82  	 67.85  	 69.95  	 69.09  	 68.10  	 74.01  	 44.58
1988	   3	  31	  15	 54.73  	 79.59  	 88.20  	 74.91  	 67.89  	 67.40  	 71.34  	 69.25  	 68.88  	 72.69  	 44.47
1988	   4	  12	  15	 40.06  	 74.91  	 88.32  	 77.25  	 68.26  	 68.39  	 71.83  	 68.02  	 69.99  	 73.43  	 44.04
