# Station Name: Topeka
# Station Code: MTF
# Station Latitude: 40.300000
# Station Longitude: 89.900000
# Station Altitude: 152.000000
Year	  MO	  DY	 Sta	 0-10cm 	 10-30  	 30-50  	 50-70  	 70-90  	 90-110 	 110-130	 130-150	 150-170	 170-190	 190-200
1981	   6	   1	  16	  8.40  	 26.43  	 33.53  	 37.01  	 25.48  	 20.76  	 18.71  	 18.83  	 20.46  	 18.26  	  9.25
1981	   6	  18	  16	 18.56  	 29.90  	 36.27  	 39.99  	 27.50  	 22.58  	 20.85  	 18.89  	 19.91  	 17.58  	  9.13
1981	   7	   9	  16	 17.09  	 29.83  	 33.77  	 38.01  	 25.31  	 21.46  	 20.10  	 19.94  	 21.26  	 19.75  	  9.80
1981	   7	  29	  16	 21.59  	 35.16  	 37.08  	 40.61  	 27.42  	 23.52  	 22.85  	 21.43  	 22.09  	 20.95  	 10.41
1981	   8	  13	  16	 10.70  	 23.89  	 27.70  	 30.79  	 20.96  	 17.48  	 16.08  	 15.62  	 16.93  	 15.43  	  7.76
1981	   8	  27	  16	 10.53  	 26.04  	 32.53  	 37.17  	 23.73  	 20.53  	 18.67  	 18.32  	 20.02  	 18.01  	  9.15
1981	   9	  17	  16	 11.50  	 23.54  	 25.96  	 27.36  	 17.96  	 15.05  	 14.29  	 13.88  	 14.59  	 13.68  	  6.91
1981	   9	  30	  16	 12.32  	 27.75  	 31.50  	 33.21  	 21.22  	 18.17  	 16.52  	 15.57  	 17.20  	 15.54  	  7.93
1981	  10	  15	  16	 19.77  	 33.51  	 35.32  	 34.97  	 22.25  	 19.24  	 17.30  	 17.05  	 17.62  	 16.31  	  8.46
1981	  10	  29	  16	 14.24  	 29.24  	 33.54  	 36.32  	 24.02  	 20.99  	 19.29  	 17.75  	 18.24  	 16.03  	  8.27
1981	  11	  16	  16	 14.58  	 30.94  	 34.47  	 37.54  	 24.27  	 21.06  	 19.88  	 18.33  	 19.79  	 18.07  	  9.08
1981	  12	   2	  16	 20.61  	 32.43  	 34.92  	 35.38  	 22.65  	 19.43  	 18.09  	 17.44  	 18.65  	 17.08  	  8.67
1981	  12	  30	  16	 59.22  	 31.12  	 31.96  	 35.70  	 23.42  	 20.08  	 18.98  	 18.07  	 19.25  	 18.03  	  8.78
1982	   1	  27	  16	 41.40  	 38.91  	 39.41  	 38.71  	 20.80  	 19.50  	 18.92  	 18.19  	 19.20  	 18.31  	  9.31
1982	   2	  11	  16	 47.66  	 38.85  	 39.07  	 38.69  	 20.56  	 18.04  	 17.62  	 17.34  	 18.92  	 17.28  	  8.63
1982	   2	  25	  16	 40.89  	 46.96  	 51.06  	 46.32  	 29.59  	 28.69  	 25.62  	 24.49  	 25.78  	 20.41  	  9.85
1982	   3	  16	  16	 25.23  	 38.65  	 40.82  	 41.44  	 30.05  	 26.11  	 24.74  	 24.49  	 25.05  	 23.39  	 11.86
1982	   3	  31	  16	 13.21  	 29.34  	 33.26  	 35.88  	 24.34  	 21.32  	 20.58  	 19.61  	 20.77  	 19.20  	  9.79
1982	   4	  14	  16	 14.67  	 29.94  	 33.59  	 35.81  	 25.00  	 21.35  	 19.49  	 18.53  	 19.84  	 17.59  	  9.01
1982	   4	  28	  16	 12.58  	 28.35  	 32.76  	 34.95  	 23.98  	 20.58  	 19.64  	 19.63  	 20.64  	 18.94  	  9.71
1982	   5	  14	  16	  7.56  	 26.68  	 31.55  	 32.64  	 22.63  	 19.70  	 18.16  	 17.95  	 18.97  	 17.25  	  8.94
1982	   5	  27	  16	 22.05  	 31.76  	 34.74  	 36.20  	 25.19  	 21.76  	 20.31  	 19.97  	 20.87  	 19.13  	  9.54
1982	   6	  15	  16	  8.70  	 26.71  	 32.44  	 33.67  	 23.49  	 20.02  	 18.41  	 18.05  	 18.74  	 17.32  	  8.73
1982	   6	  30	  16	  9.48  	 27.16  	 34.15  	 35.49  	 24.09  	 20.73  	 19.79  	 19.35  	 20.31  	 18.27  	  9.30
1982	   7	  14	  16	  8.78  	 21.81  	 32.39  	 35.06  	 24.12  	 20.95  	 19.46  	 18.75  	 20.41  	 18.49  	  9.08
1982	   7	  27	  16	  5.98  	 23.41  	 33.65  	 36.23  	 25.14  	 21.42  	 19.69  	 19.02  	 19.61  	 18.25  	  9.16
1982	   8	  11	  16	  9.43  	 17.56  	 26.98  	 31.24  	 21.48  	 19.20  	 18.79  	 17.61  	 18.96  	 17.41  	  8.81
1982	   9	   2	  16	 17.72  	 25.46  	 24.60  	 26.92  	 19.37  	 18.41  	 17.58  	 16.87  	 17.93  	 16.85  	  8.62
1982	   9	  16	  16	 10.39  	 20.88  	 29.15  	 30.07  	 20.43  	 17.32  	 16.85  	 16.21  	 17.70  	 16.21  	  8.55
1982	   9	  30	  16	  8.38  	 21.36  	 30.32  	 32.15  	 20.95  	 17.58  	 16.85  	 16.44  	 17.51  	 15.99  	  8.38
1982	  10	  28	  16	 10.38  	 23.78  	 31.43  	 32.16  	 21.54  	 18.27  	 16.70  	 15.77  	 17.20  	 15.84  	  8.28
1982	  12	   3	  16	 21.77  	 32.63  	 40.38  	 41.09  	 31.30  	 28.02  	 27.30  	 26.46  	 26.45  	 21.70  	 10.54
1982	  12	  13	  16	 22.40  	 30.77  	 34.78  	 36.09  	 25.13  	 21.34  	 20.90  	 20.27  	 21.25  	 19.14  	  9.70
1982	  12	  27	  16	 18.80  	 29.75  	 37.65  	 38.77  	 27.39  	 24.36  	 23.12  	 22.70  	 24.18  	 21.69  	 10.71
1983	   1	  25	  16	 22.55  	 32.17  	 31.53  	 33.82  	 23.31  	 20.31  	 19.12  	 18.21  	 19.20  	 17.13  	  9.01
1983	   2	  22	  16	 22.24  	 30.74  	 35.97  	 38.83  	 27.24  	 23.27  	 19.12  	 17.36  	 18.44  	 17.28  	  8.71
1983	   3	  15	  16	 15.83  	 26.87  	 35.63  	 36.71  	 26.62  	 23.09  	 21.21  	 20.22  	 20.85  	 18.44  	  8.99
1983	   3	  28	  16	 17.45  	 30.90  	 37.02  	 36.49  	 26.07  	 23.23  	 22.35  	 20.90  	 22.22  	 20.11  	 10.40
1983	   4	  12	  16	 16.80  	 30.55  	 38.00  	 40.55  	 28.68  	 24.40  	 23.04  	 22.46  	 24.72  	 22.05  	 11.46
1983	   4	  26	  16	 11.02  	 24.75  	 33.59  	 36.49  	 25.13  	 21.35  	 20.18  	 19.67  	 21.29  	 18.91  	  9.84
1983	   5	  16	  16	 17.56  	 27.47  	 35.81  	 37.20  	 25.97  	 21.33  	 19.69  	 19.33  	 20.64  	 18.46  	  9.46
1983	   5	  31	  16	 15.24  	 27.44  	 36.33  	 37.18  	 25.07  	 21.31  	 20.08  	 19.00  	 20.15  	 18.43  	  9.41
1983	   6	  13	  16	  7.96  	 20.85  	 32.02  	 35.02  	 25.08  	 21.92  	 20.00  	 19.07  	 20.32  	 18.09  	  9.31
1983	   6	  27	  16	  6.27  	 16.01  	 29.66  	 32.55  	 22.94  	 20.22  	 19.36  	 18.01  	 19.72  	 17.96  	  9.03
1983	   7	  11	  16	  5.95  	 15.79  	 28.43  	 31.94  	 21.52  	 18.89  	 17.76  	 16.94  	 18.43  	 16.83  	  8.78
1983	   7	  26	  16	  5.41  	 13.73  	 28.75  	 31.48  	 21.16  	 19.42  	 17.76  	 17.30  	 18.43  	 16.79  	  8.40
1983	   8	  15	  16	  0.11  	 12.58  	 19.00  	 21.56  	 13.52  	 12.62  	 12.19  	 11.96  	 12.16  	 11.76  	  5.95
1983	   8	  29	  16	  8.34  	 20.64  	 26.42  	 30.15  	 20.96  	 18.89  	 17.10  	 16.58  	 17.29  	 16.58  	  8.48
1983	   9	  12	  16	  3.02  	 17.98  	 25.05  	 29.24  	 19.55  	 17.69  	 16.34  	 15.79  	 16.76  	 15.84  	  7.95
1983	   9	  27	  16	 12.01  	 27.57  	 32.45  	 29.40  	 19.81  	 17.43  	 16.06  	 15.32  	 16.21  	 15.31  	  7.91
1983	  10	  25	  16	 14.09  	 28.04  	 34.13  	 38.28  	 24.15  	 16.88  	 15.60  	 15.12  	 16.02  	 15.18  	  7.72
1983	  11	  29	  16	 18.58  	 29.91  	 40.96  	 45.35  	 33.42  	 29.21  	 27.28  	 25.97  	 26.93  	 25.44  	 12.55
1983	  12	  27	  16	999.99  	 40.40  	 36.19  	 42.06  	 29.97  	 25.33  	 23.32  	 23.40  	 24.54  	 22.27  	 11.22
1984	   2	   2	  16	999.99  	 49.73  	 42.46  	 39.05  	 25.92  	 22.86  	 21.54  	 21.02  	 21.46  	 20.58  	 10.42
1984	   3	   2	  16	 16.87  	 31.45  	 36.69  	 42.56  	 29.59  	 25.68  	 23.81  	 23.55  	 25.14  	 22.92  	 12.00
1984	   3	  15	  16	 20.66  	 35.03  	 35.73  	 40.56  	 27.13  	 23.36  	 22.31  	 21.60  	 23.09  	 20.99  	 10.93
1984	   3	  27	  16	 19.63  	 39.02  	 43.12  	 46.77  	 32.16  	 28.33  	 27.26  	 25.93  	 27.80  	 25.39  	 12.79
1984	   4	  17	  16	 16.68  	 37.02  	 42.29  	 45.96  	 30.58  	 26.74  	 24.68  	 23.52  	 25.13  	 23.34  	 11.62
1984	   4	  25	  16	 15.00  	 37.83  	 41.62  	 45.67  	 30.63  	 28.20  	 26.30  	 25.40  	 26.84  	 24.68  	 12.88
1984	   5	  15	  16	 13.18  	 32.34  	 38.32  	 42.88  	 29.66  	 25.73  	 23.23  	 23.05  	 25.28  	 21.62  	 10.99
1984	   5	  30	  16	 14.43  	 36.54  	 41.49  	 44.55  	 30.78  	 25.11  	 24.12  	 23.22  	 24.21  	 22.41  	 11.43
1984	   6	  11	  16	 13.87  	 37.00  	 41.33  	 43.95  	 28.79  	 24.55  	 23.37  	 22.47  	 23.74  	 21.57  	 11.42
1984	   6	  27	  16	 12.14  	 30.98  	 36.79  	 41.52  	 28.43  	 24.53  	 22.89  	 21.98  	 23.53  	 20.89  	 10.63
1984	   7	  17	  16	 13.66  	 34.77  	 37.46  	 37.01  	 24.97  	 22.46  	 21.92  	 20.21  	 21.83  	 19.94  	 10.02
1984	   7	  30	  16	 12.88  	 34.31  	 37.48  	 36.12  	 24.23  	 22.42  	 21.15  	 20.24  	 21.33  	 19.69  	  9.85
1984	   8	  14	  16	  7.80  	 21.48  	 30.12  	 32.40  	 22.93  	 21.20  	 20.39  	 19.29  	 20.57  	 18.75  	  9.83
1984	   8	  29	  16	  7.96  	 19.31  	 25.35  	 26.91  	 19.40  	 18.49  	 19.49  	 19.13  	 20.32  	 18.58  	  9.52
