# Station Name: Oak Run
# Station Code: OAK
# Station Latitude: 40.970000
# Station Longitude: 90.150000
# Station Altitude: 229.000000
Year	  MO	  DY	 Sta	 0-10cm 	 10-30  	 30-50  	 50-70  	 70-90  	 90-110 	 110-130	 130-150	 150-170	 170-190	 190-200
1981	   6	   1	  17	 25.53  	 39.80  	 67.04  	 70.22  	 69.92  	 69.26  	 71.35  	 72.03  	 74.24  	 77.76  	 35.43
1981	   7	   9	  17	 29.83  	 56.03  	 62.35  	 68.98  	 70.38  	 67.94  	 64.16  	 64.76  	 64.53  	 67.07  	 33.72
1981	   7	  29	  17	 32.47  	 61.63  	 69.51  	 75.47  	 77.44  	 74.59  	 71.34  	 70.65  	 73.97  	 71.58  	 38.71
1981	   8	  13	  17	 30.08  	 55.60  	 65.17  	 77.04  	 74.86  	 75.27  	 71.10  	 71.94  	 73.06  	 70.96  	 36.37
1981	   8	  27	  17	 23.49  	 49.85  	 66.38  	 75.12  	 79.30  	 72.26  	 71.65  	 72.39  	 73.34  	 72.75  	 35.40
1981	   9	  17	  17	 21.00  	 44.19  	 61.38  	 70.53  	 74.14  	 71.52  	 69.06  	 67.57  	 70.22  	 69.26  	 34.33
1981	   9	  30	  17	 33.26  	 47.64  	 59.98  	 73.21  	 74.95  	 72.82  	 68.95  	 67.51  	 67.32  	 68.20  	 34.03
1981	  10	  15	  17	 34.24  	 55.54  	 62.05  	 73.12  	 74.45  	 74.62  	 71.66  	 70.20  	 69.62  	 70.72  	 35.50
1981	  10	  30	  17	 32.63  	 53.69  	 62.49  	 71.55  	 76.00  	 73.21  	 69.78  	 67.46  	 68.36  	 68.48  	 34.97
1981	  11	  17	  17	 31.36  	 57.59  	 68.15  	 72.85  	 75.68  	 74.04  	 70.61  	 68.75  	 69.48  	 70.57  	 35.49
1982	   1	  28	  17	 33.62  	 55.21  	 54.67  	 65.45  	 67.93  	 64.75  	 61.79  	 58.95  	 59.00  	 60.35  	 31.04
1982	   2	  26	  17	 56.02  	 55.79  	 53.34  	 58.41  	 59.88  	 60.25  	 55.22  	 54.33  	 53.00  	 55.18  	 27.54
1982	   3	  17	  17	 37.09  	 59.88  	 65.99  	 74.44  	 77.34  	 73.87  	 68.99  	 66.85  	 70.60  	 69.76  	 35.38
1982	   3	  31	  17	 31.61  	 56.94  	 67.51  	 74.24  	 77.82  	 74.99  	 70.72  	 70.11  	 69.26  	 72.40  	 35.45
