# Station Name: Fairfield
# Station Code: FAI
# Station Latitude: 38.380000
# Station Longitude: 88.380000
# Station Altitude: 136.000000
Year	  MO	  DY	 Sta	 0-10cm 	 10-30  	 30-50  	 50-70  	 70-90  	 90-110 	 110-130	 130-150	 150-170	 170-190	 190-200
1991	   9	  26	  34	 24.33  	 47.82  	 55.96  	 59.42  	 54.03  	 58.00  	 57.18  	 59.01  	 63.80  	 71.84  	 38.51
1991	  11	  13	  34	 31.18  	 67.22  	 77.11  	 74.05  	 60.30  	 61.42  	 58.87  	 59.79  	 64.17  	 71.81  	 38.96
1991	  12	   3	  34	 39.07  	 66.64  	 83.17  	 73.76  	 69.20  	 63.73  	 62.42  	 62.70  	 66.85  	 72.38 -	999.99
1991	  12	  31	  34	 42.98  	 68.75  	 84.31  	 74.29  	 70.01  	 64.83  	 63.15  	 63.64  	 67.42  	 71.84 -	999.99
1992	   1	  31	  34	 42.98  	 69.08  	 83.28  	 81.45  	 69.15  	 60.44  	 62.34  	 65.22  	 69.01  	 74.77 -	999.99
1992	   2	  27	  34	 41.88  	 70.87  	 84.69  	 74.96  	 70.66  	 60.58  	 63.75  	 65.45  	 69.46  	 75.17 -	999.99
1992	   3	  17	  34	 37.94  	 73.88  	 81.13  	 81.63  	 74.03  	 67.06  	 66.99  	 67.42  	 73.96  	 81.56 -	999.99
1992	   4	   1	  34	 40.36  	 69.61  	 82.52  	 82.78  	 69.07  	 62.95  	 62.62  	 62.42  	 69.07  	 69.54 -	999.99
1992	   4	  14	  34	 23.59  	 66.10  	 78.55  	 79.89  	 71.62  	 67.09  	 64.97  	 65.39  	 70.06  	 76.14 -	999.99
1992	   5	   1	  34	 32.21  	 68.36  	 81.09  	 78.83  	 70.34  	 67.02  	 64.40  	 66.38  	 69.28  	 75.51 -	999.99
1992	   5	  14	  34	 33.94  	 66.85  	 78.96  	 78.25  	 69.97  	 67.56  	 64.66  	 66.64  	 69.19  	 75.42 -	999.99
1992	   5	  29	  34	 38.94  	 68.84  	 81.14  	 79.61  	 70.45  	 67.02  	 64.30  	 65.63  	 68.00  	 75.06 -	999.99
1992	   7	   1	  34	 13.05  	 44.06  	 72.23  	 78.18  	 70.53  	 68.27  	 67.14  	 67.14  	 70.82  	 76.20  	 41.04
1992	   7	  14	  34	 18.66  	 50.68  	 73.63  	 78.37  	 70.65  	 68.32  	 67.54  	 66.76  	 71.64  	 77.03  	 41.38
1992	   7	  30	  34	 18.08  	 52.81  	 75.01  	 78.34  	 71.46  	 67.56  	 67.21  	 66.64  	 71.39  	 76.21  	 41.37
1992	   8	  13	  34	 14.47  	 31.79  	 66.38  	 76.16  	 69.07  	 66.87  	 64.89  	 64.96  	 71.27  	 76.94  	 41.30
1992	   9	   1	  34	 19.69  	 32.59  	 61.57  	 72.85  	 67.91  	 65.16  	 64.04  	 65.73  	 69.11  	 75.32  	 41.04
1992	   9	  15	  34	 18.54  	 40.77  	 62.91  	 72.00  	 66.71  	 64.67  	 63.05  	 64.39  	 69.11  	 75.53  	 41.15
1992	   9	  29	  34	 27.42  	 55.36  	 75.66  	 77.20  	 67.54  	 63.34  	 62.01  	 63.83  	 68.59  	 75.59  	 41.01
1992	  10	  29	  34	 17.94  	 56.86  	 82.56  	 85.75  	 75.31  	 71.26  	 70.25  	 70.17  	 75.08  	 83.41  	 45.02
1992	  12	   1	  34	 34.00  	 61.51  	 80.08  	 79.59  	 69.67  	 67.49  	 64.39  	 66.22  	 69.46  	 75.72  	 40.96
1992	  12	  29	  34	 47.49  	 73.89  	 83.18  	 80.88  	 72.64  	 68.93  	 65.93  	 66.91  	 70.05  	 75.92  	 40.51
1993	   1	  28	  34	 43.45  	 72.87  	 85.07  	 80.09  	 71.18  	 67.96  	 66.63  	 66.20  	 68.17  	 76.16  	 41.06
1993	   3	   2	  34	 58.61  	 73.61  	 83.11  	 80.95  	 71.59  	 67.40  	 66.28  	 67.33  	 70.05  	 75.36  	 40.58
1993	   3	  16	  34	 47.62  	 72.36  	 83.25  	 81.09  	 71.10  	 67.96  	 67.96  	 67.12  	 70.26  	 76.83  	 41.07
1993	   3	  30	  34	 41.09  	 70.17  	 85.08  	 81.76  	 72.65  	 68.69  	 67.28  	 66.64  	 71.59  	 76.32  	 41.20
1993	   4	  15	  34	 48.71  	 71.10  	 81.25  	 77.89  	 68.21  	 66.06  	 64.79  	 64.05  	 67.47  	 72.65  	 39.41
1993	   4	  28	  34	 39.95  	 67.72  	 81.87  	 82.01  	 73.60  	 68.93  	 67.72  	 67.72  	 71.54  	 76.71  	 41.18
1993	   5	  13	  34	 42.09  	 73.87  	 83.66  	 82.04  	 71.06  	 67.89  	 67.33  	 66.97  	 70.42  	 76.41  	 40.32
1993	   5	  27	  34	 35.61  	 60.92  	 79.01  	 80.70  	 72.25  	 67.96  	 66.69  	 66.13  	 70.14  	 76.20  	 40.49
1993	   6	  15	  34	 34.13  	 59.56  	 78.90  	 80.54  	 73.17  	 70.02  	 67.94  	 67.94  	 71.95  	 77.54  	 41.42
1993	   6	  29	  34	 48.89  	 72.70  	 82.21  	 80.23  	 71.63  	 69.43  	 68.58  	 67.80  	 70.71  	 78.88  	 41.28
1993	   7	  13	  34	 32.65  	 66.34  	 82.06  	 81.41  	 73.66  	 69.28  	 68.06  	 68.35  	 71.15  	 78.47  	 41.68
1993	   7	  29	  34	 34.46  	 67.25  	 82.58  	 82.23  	 72.58  	 68.46  	 67.82  	 68.32  	 71.01  	 77.54  	 40.55
1993	   8	  17	  34	 28.17  	 65.92  	 81.37  	 82.16  	 73.36  	 70.54  	 69.24  	 67.87  	 71.41  	 78.05  	 41.26
1993	   8	  31	  34	 24.03  	 54.46  	 74.93  	 80.06  	 71.86  	 69.58  	 68.72  	 68.08  	 71.72  	 77.28  	 40.99
1993	   9	  15	  34	 37.18  	 67.94  	 82.38  	 80.41  	 71.60  	 69.35  	 66.32  	 66.95  	 70.97  	 77.02  	 40.87
1993	   9	  29	  34	 39.22  	 71.79  	 82.93  	 81.87  	 72.00  	 68.12  	 67.42  	 68.05  	 71.23  	 77.71  	 40.27
1993	  10	  28	  34	 40.46  	 69.77  	 83.58  	 82.24  	 72.87  	 70.19  	 67.02  	 66.60  	 70.90  	 77.38  	 40.80
1993	  11	  30	  34	 50.22  	 75.53  	 85.89  	 81.17  	 73.91  	 69.46  	 69.53  	 68.27  	 71.23  	 76.09  	 40.62
1993	  12	  28	  34	 38.89  	 70.46  	 84.00  	 83.72  	 72.99  	 69.83  	 67.37  	 68.50  	 70.74  	 76.57  	 40.91
1994	   1	  27	  34	 62.56  	 82.54  	 83.04  	 82.40  	 72.38  	 69.64  	 67.89  	 68.17  	 70.34  	 74.76  	 40.68
1994	   3	   1	  34	 53.54  	 74.84  	 84.19  	 83.42  	 73.44  	 69.72  	 67.54  	 68.66  	 70.91  	 75.34  	 41.01
1994	   3	  16	  34	 42.42  	 67.77  	 82.84  	 81.16  	 73.10  	 70.50  	 67.70  	 68.12  	 70.29  	 75.55  	 40.54
1994	   3	  31	  34	 41.98  	 69.16  	 83.20  	 83.69  	 73.89  	 70.64  	 67.25  	 68.03  	 71.13  	 75.93  	 41.32
1994	   4	  14	  34	 45.00  	 74.09  	 84.35  	 84.71  	 73.59  	 71.03  	 69.10  	 69.39  	 72.67  	 77.80  	 40.82
1994	   4	  27	  34	 48.00  	 73.40  	 81.46  	 82.24  	 73.33  	 70.93  	 67.04  	 68.24  	 70.79  	 76.66  	 41.05
1994	   5	  11	  34	 35.56  	 68.20  	 83.04  	 83.47  	 73.48  	 71.06  	 69.13  	 68.49  	 71.48  	 77.05  	 41.63
1994	   5	  25	  34	 22.46  	 53.65  	 77.09  	 81.95  	 73.73  	 70.73  	 68.23  	 69.30  	 71.37  	 77.59  	 41.90
1994	   6	  15	  34	 14.70  	 34.54  	 66.62  	 79.60  	 74.26  	 70.59  	 69.14  	 68.14  	 72.75  	 77.72  	 41.82
1994	   6	  29	  34	 21.92  	 34.57  	 61.72  	 75.30  	 70.01  	 69.94  	 68.15  	 67.73  	 71.08  	 77.44  	 41.65
1994	   7	  14	  34	 27.97  	 61.98  	 72.81  	 74.73  	 68.03  	 67.96  	 68.53  	 68.11  	 71.24  	 76.66  	 41.32
1994	   7	  28	  34	 16.51  	 36.83  	 65.86  	 72.65  	 69.04  	 66.29  	 66.01  	 68.41  	 70.03  	 75.26  	 40.81
1994	   8	  11	  34	 22.32  	 40.49  	 61.95  	 70.01  	 68.08  	 66.58  	 65.16  	 67.51  	 71.29  	 76.57  	 41.28
1994	   8	  30	  34	 25.38  	 36.95  	 55.04  	 66.08  	 66.50  	 64.39  	 63.41  	 66.79  	 70.09  	 73.96  	 40.85
1994	   9	  15	  34	 11.95  	 24.65  	 53.33  	 67.34  	 64.67  	 65.17  	 63.59  	 66.84  	 69.44  	 77.45  	 41.26
1994	   9	  29	  34	 28.31  	 37.21  	 51.69  	 63.29  	 62.87  	 62.45  	 61.82  	 63.29  	 69.06  	 74.83  	 41.00
1994	  10	  27	  34	 25.49  	 42.88  	 57.21  	 65.96  	 64.41  	 62.78  	 61.37  	 63.07  	 68.01  	 75.77  	 40.60
1994	  11	  29	  34	 39.95  	 72.53  	 84.46  	 81.77  	 71.54  	 68.36  	 65.82  	 66.10  	 70.62  	 74.78  	 41.06
1994	  12	  28	  34	 43.41  	 73.96  	 85.44  	 82.61  	 71.91  	 70.14  	 67.16  	 65.88  	 70.21  	 75.73  	 40.92
1995	   1	  31	  34	 48.49  	 76.09  	 85.72  	 82.84  	 72.65  	 68.99  	 67.02  	 66.88  	 70.61  	 75.88  	 41.56
1995	   3	   1	  34	 52.39  	 75.02  	 84.43  	 82.60  	 73.13  	 69.55  	 66.53  	 66.46  	 70.53  	 75.93  	 40.84
1995	   3	  14	  34	 45.59  	 73.30  	 85.72  	 81.96  	 72.95  	 69.97  	 67.77  	 67.21  	 71.11  	 76.50  	 41.69
1995	   3	  30	  34	 41.85  	 71.33  	 83.82  	 81.91  	 73.09  	 69.84  	 66.38  	 67.16  	 71.33  	 75.98  	 41.03
1995	   4	  13	  34	 42.64  	 66.68  	 81.19  	 81.40  	 74.08  	 68.39  	 67.68  	 67.54  	 71.45  	 77.21  	 41.66
1995	   4	  27	  34	 42.83  	 70.70  	 82.93  	 83.22  	 72.89  	 69.42  	 67.16  	 65.96  	 70.06  	 76.50  	 41.71
1995	   5	  16	  34	 48.70  	 75.52  	 85.14  	 84.35  	 72.31  	 69.82  	 66.97  	 67.96  	 70.39  	 76.73  	 41.54
1995	   5	  31	  34	 41.85  	 71.60  	 85.07  	 83.57  	 73.38  	 69.10  	 67.25  	 68.18  	 71.17  	 76.37  	 41.32
1995	   6	  15	  34	 36.60  	 62.83  	 79.81  	 81.46  	 72.57  	 70.78  	 67.92  	 67.27  	 71.00  	 77.80  	 41.16
1995	   6	  29	  34	 39.04  	 58.99  	 75.82  	 80.30  	 72.06  	 69.50  	 66.94  	 66.94  	 69.78  	 76.39  	 41.53
1995	   7	  14	  34	 19.46  	 38.97  	 70.39  	 80.38  	 72.69  	 69.52  	 67.15  	 66.58  	 70.24  	 76.64  	 41.52
1995	   8	   4	  34	 21.85  	 45.14  	 69.25  	 77.19  	 70.68  	 68.47  	 67.61  	 67.32  	 72.04  	 77.19  	 41.14
1995	   8	  16	  34	 19.26  	 54.42  	 76.12  	 80.60  	 72.94  	 69.68  	 68.31  	 68.60  	 71.85  	 77.78  	 41.93
1995	   8	  30	  34	 15.18  	 42.70  	 70.85  	 77.11  	 71.13  	 68.40  	 66.71  	 67.97  	 71.57  	 77.97  	 41.36
1995	   9	  13	  34	 13.34  	 32.26  	 65.61  	 74.02  	 69.82  	 66.68  	 65.11  	 66.25  	 71.31  	 76.80  	 41.04
1995	   9	  28	  34	 13.19  	 28.58  	 62.44  	 74.48  	 67.47  	 65.34  	 64.14  	 65.91  	 68.60  	 76.25  	 40.53
1995	  11	   1	  34	 24.06  	 39.20  	 59.60  	 71.93  	 66.62  	 64.07  	 61.30  	 63.85  	 67.68  	 74.34  	 40.07
1995	  11	  30	  34	 26.10  	 49.72  	 70.51  	 72.91  	 66.90  	 64.00  	 62.31  	 63.51  	 68.24  	 75.10  	 40.41
1995	  12	  27	  34	 35.99  	 62.81  	 80.31  	 80.66  	 70.15  	 68.67  	 65.49  	 66.69  	 68.10  	 75.51  	 40.51
1996	   1	  30	  34	 42.26  	 67.72  	 80.89  	 80.19  	 70.53  	 66.67  	 66.04  	 66.67  	 67.93  	 74.66  	 41.15
1996	   2	  29	  34	 41.28  	 72.67  	 82.36  	 83.50  	 73.12  	 70.00  	 67.55  	 67.48  	 69.84  	 76.25  	 41.94
1996	   3	  14	  34	 41.21  	 72.75  	 83.58  	 82.51  	 74.04  	 69.59  	 68.16  	 66.94  	 70.52  	 76.62  	 41.43
1996	   3	  28	  34	 47.20  	 77.08  	 84.33  	 81.84  	 72.39  	 69.83  	 66.56  	 66.99  	 70.33  	 76.02  	 41.70
1996	   4	  11	  34	 41.37  	 71.84  	 83.52  	 82.66  	 72.84  	 69.90  	 67.68  	 67.75  	 71.41  	 77.43  	 41.80
1996	   4	  30	  34	 53.34  	 75.68  	 84.04  	 82.13  	 72.07  	 68.53  	 65.84  	 66.76  	 70.23  	 75.82  	 41.56
1996	   5	  14	  34	 47.98  	 75.52  	 83.78  	 82.64  	 72.60  	 69.82  	 68.18  	 67.25  	 70.74  	 75.66  	 41.43
1996	   5	  30	  34	 41.84  	 66.96  	 81.53  	 82.17  	 71.89  	 69.75  	 67.04  	 66.96  	 70.46  	 76.03  	 41.66
1996	   6	  14	  34	 43.38  	 71.62  	 83.50  	 83.43  	 73.35  	 70.10  	 67.29  	 67.44  	 71.98  	 77.81  	 41.86
1996	   6	  26	  34	 28.77  	 52.57  	 75.12  	 80.26  	 72.70  	 69.27  	 67.70  	 66.56  	 70.63  	 77.19  	 40.77
1996	   7	  16	  34	 20.37  	 28.21  	 61.58  	 74.80  	 70.73  	 68.30  	 54.08  	 67.80  	 70.58  	 75.01  	 41.69
1996	   7	  30	  34	 21.60  	 37.17  	 59.34  	 72.14  	 69.35  	 66.70  	 64.99  	 67.27  	 70.78  	 75.92  	 40.97
1996	   8	  15	  34	 13.54  	 26.00  	 56.15  	 68.87  	 67.01  	 65.80  	 64.65  	 66.44  	 70.94  	 76.23  	 40.90
1996	   8	  29	  34	 26.54  	 48.04  	 66.51  	 72.45  	 67.22  	 65.29  	 64.00  	 65.22  	 71.38  	 76.17  	 41.20
1996	   9	  13	  34	 25.13  	 49.39  	 69.48  	 73.22  	 67.32  	 65.02  	 64.58  	 66.09  	 70.20  	 76.03  	 41.65
1996	   9	  30	  34	 32.42  	 56.28  	 75.80  	 76.73  	 68.68  	 65.04  	 65.26  	 66.89  	 70.81  	 76.51  	 41.32
1996	  10	  30	  34	 31.99  	 56.12  	 75.09  	 77.01  	 68.41  	 66.21  	 65.29  	 67.35  	 70.26  	 75.31  	 41.42
1996	  11	  25	  34	 55.02  	 70.98  	 82.72  	 81.31  	 72.18  	 68.29  	 66.17  	 67.65  	 71.62  	 75.86  	 41.71
1997	   1	   2	  34	 51.19  	 73.30  	 83.68  	 82.97  	 73.01  	 69.38  	 67.32  	 67.82  	 71.80  	 75.86  	 40.67
1997	   1	  28	  34	 47.19  	 73.81  	 84.07  	 81.73  	 72.75  	 69.85  	 66.59  	 67.09  	 69.92  	 74.59  	 41.64
1997	   2	  26	  34	 53.40  	 74.32  	 83.30  	 81.67  	 71.28  	 68.60  	 67.18  	 67.04  	 71.07  	 74.18  	 40.70
1997	   3	  13	  34	 64.90  	 74.50  	 84.57  	 80.72  	 71.99  	 67.93  	 66.47  	 66.75  	 70.87  	 74.43  	 40.54
1997	   3	  27	  34	 47.39  	 74.13  	 84.53  	 82.81  	 74.06  	 70.04  	 67.46  	 67.97  	 71.69  	 76.50  	 41.73
1997	   4	  15	  34	 45.70  	 73.58  	 85.17  	 81.62  	 73.15  	 69.74  	 67.61  	 68.18  	 71.45  	 75.71  	 40.99
1997	   4	  29	  34	 46.48  	 68.49  	 84.72  	 82.44  	 73.47  	 68.63  	 67.42  	 67.84  	 72.05  	 76.25  	 41.01
1997	   5	  14	  34	 41.00  	 62.60  	 80.75  	 82.67  	 73.28  	 68.72  	 66.59  	 66.94  	 71.43  	 77.26  	 41.34
1997	   5	  29	  34	 30.59  	 55.56  	 77.59  	 77.59  	 71.68  	 68.51  	 67.19  	 66.78  	 69.43  	 76.26  	 40.78
1997	   6	  12	  34	 43.86  	 71.95  	 83.35  	 81.09  	 73.39  	 68.14  	 67.73  	 67.63  	 71.43  	 75.85  	 41.52
1997	   6	  27	  34	 37.23  	 65.59  	 80.10  	 80.10  	 71.41  	 69.06  	 66.92  	 65.59  	 71.10  	 75.29  	 41.33
1997	   7	  14	  34	 18.80  	 32.48  	 71.32  	 79.24  	 73.64  	 71.24  	 68.92  	 68.19  	 73.21  	 78.95  	 41.88
1997	   7	  30	  34	 18.78  	 44.99  	 76.03  	 81.51  	 73.86  	 70.33  	 68.38  	 68.88  	 72.42  	 78.12  	 41.59
1997	   8	  14	  34	 17.64  	 27.60  	 62.30  	 76.92  	 71.90  	 69.93  	 68.92  	 69.93  	 73.13  	 78.01  	 41.84
1997	   8	  28	  34	 27.16  	 40.76  	 64.25  	 76.14  	 72.44  	 68.60  	 67.36  	 68.74  	 72.15  	 77.80  	 41.58
1997	   9	  11	  34	 27.33  	 34.20  	 60.41  	 74.30  	 68.76  	 67.61  	 66.53  	 67.75  	 71.28  	 76.89  	 41.69
1997	   9	  25	  34	 23.86  	 31.87  	 59.32  	 72.33  	 69.08  	 66.40  	 65.17  	 67.34  	 70.88  	 76.80  	 41.47
1997	  10	  29	  34	 30.29  	 31.34  	 56.99  	 68.75  	 67.25  	 64.19  	 61.91  	 65.18  	 68.68  	 75.23  	 41.75
1997	  11	  25	  34	 30.86  	 54.55  	 68.23  	 69.73  	 67.37  	 63.00  	 61.71  	 65.65  	 69.01  	 76.17  	 41.17
1997	  12	  31	  34	 41.61  	 74.08  	 83.89  	 81.75  	 70.21  	 68.56  	 66.91  	 67.34  	 70.78  	 76.87  	 41.09
1998	   1	  28	  34	 50.67  	 76.62  	 84.80  	 83.80  	 73.11  	 69.30  	 66.58  	 67.51  	 72.03  	 76.84  	 41.29
1998	   2	  25	  34	 47.92  	 77.20  	 85.28  	 83.69  	 72.94  	 68.62  	 68.62  	 68.47  	 71.43  	 76.62  	 41.70
1998	   3	  12	  34	 51.34  	 74.99  	 83.56  	 80.75  	 71.12  	 68.94  	 66.34  	 66.34  	 69.64  	 74.70  	 41.32
1998	   3	  31	  34	 46.68  	 73.92  	 84.87  	 82.85  	 72.70  	 70.10  	 68.09  	 68.09  	 71.40  	 77.96  	 41.93
1998	   4	  14	  34	 47.52  	 75.65  	 85.23  	 84.44  	 74.14  	 70.18  	 68.52  	 67.87  	 70.54  	 77.09  	 41.50
1998	   4	  29	  34	 46.88  	 74.89  	 84.91  	 82.26  	 73.02  	 69.09  	 67.22  	 68.30  	 71.59  	 76.68  	 41.27
1998	   5	  14	  34	 43.18  	 69.50  	 84.33  	 83.32  	 74.08  	 70.52  	 67.97  	 68.19  	 71.61  	 77.43  	 41.84
1998	   5	  28	  34	 43.78  	 70.39  	 83.00  	 82.64  	 73.78  	 69.46  	 67.73  	 67.65  	 71.04  	 77.09  	 41.25
1998	   6	  15	  34	 44.98  	 72.34  	 85.39  	 83.38  	 73.77  	 70.12  	 68.40  	 68.61  	 71.41  	 77.07  	 41.76
1998	   6	  30	  34	 39.67  	 68.81  	 81.62  	 83.06  	 72.94  	 70.62  	 67.37  	 68.52  	 71.71  	 77.71  	 41.31
1998	   7	  14	  34	 33.24  	 60.71  	 77.85  	 81.76  	 73.59  	 69.25  	 69.54  	 68.88  	 72.50  	 77.35  	 41.31
1998	   7	  29	  34	 28.72  	 51.38  	 73.94  	 79.89  	 73.43  	 69.52  	 69.01  	 67.63  	 71.76  	 78.37  	 41.65
1998	   8	  13	  34	 46.02  	 71.75  	 83.25  	 83.04  	 73.05  	 70.03  	 68.30  	 68.09  	 72.11  	 77.07  	 41.16
1998	   9	   1	  34	 29.11  	 45.19  	 72.49  	 79.10  	 71.99  	 69.26  	 67.03  	 68.25  	 72.28  	 76.30  	 40.52
1998	   9	  16	  34	 19.01  	 33.35  	 65.50  	 76.61  	 71.45  	 68.19  	 67.03  	 67.46  	 72.76  	 77.55  	 42.00
1998	   9	  29	  34	 19.58  	 34.09  	 63.60  	 75.25  	 69.82  	 68.81  	 65.99  	 66.14  	 71.85  	 78.36  	 41.96
1998	  10	  29	  34	 24.39  	 60.26  	 78.38  	 80.19  	 70.84  	 68.89  	 68.23  	 69.68  	 71.86  	 78.31  	 41.26
1998	  11	  30	  34	 39.14  	 65.80  	 80.59  	 81.89  	 73.67  	 69.77  	 68.40  	 69.12  	 72.30  	 77.56  	 41.05
1998	  12	  29	  34	 50.23  	 74.70  	 83.47  	 83.83  	 74.34  	 70.58  	 68.69  	 70.29  	 72.75  	 77.75  	 42.46
