# Station Name: Champaign
# Station Code: CMI
# Station Latitude: 40.080000
# Station Longitude: 88.230000
# Station Altitude: 219.000000
Year	  MO	  DY	 Sta	 0-10cm 	 10-30  	 30-50  	 50-70  	 70-90  	 90-110 	 110-130	 130-150	 150-170	 170-190	 190-200
1986	   6	  27	  81	 15.94  	 45.39  	 62.76  	 61.11  	 55.51  	 55.07  	 57.27  	 59.68  	 58.48  	 55.95  	 28.85
1986	   7	  16	  81	 29.07  	 76.16  	 77.26  	 74.47  	 64.60  	 61.89  	 60.29  	 62.40  	 59.62  	 58.77  	 30.02
1986	   8	  18	  81	999.99  	 45.57  	 61.94  	 62.05  	 54.42  	 56.41  	 56.96  	 59.18  	 58.51  	 56.08  	 28.81
1986	   8	  21	  81	 16.37  	 44.72  	 59.81  	 60.69  	 55.26  	 55.81  	 58.59  	 58.37  	 58.37  	 57.48  	 28.74
1986	   8	  29	  81	 19.15  	 44.66  	 56.56  	 57.45  	 53.15  	 55.79  	 57.34  	 59.32  	 57.89  	 56.78  	 28.45
1986	   9	  25	  81	 32.57  	 76.88  	 75.66  	 71.01  	 62.36  	 58.48  	 58.70  	 59.81  	 57.92  	 56.59  	 28.52
1986	  10	  25	  81	 38.22  	 80.99  	 80.44  	 78.36  	 68.38  	 60.92  	 57.41  	 58.40  	 57.52  	 56.43  	 28.71
1986	  11	   7	  81	 36.96  	 75.67  	 75.12  	 70.72  	 61.13  	 58.82  	 60.14  	 58.82  	 57.94  	 56.84  	 28.58
1986	  11	  14	  81	 37.28  	 74.42  	 73.01  	 69.52  	 60.37  	 56.89  	 58.85  	 58.96  	 59.28  	 56.24  	 28.55
1986	  11	  21	  81	 39.28  	 74.80  	 74.80  	 70.60  	 60.33  	 59.33  	 59.00  	 61.43  	 58.34  	 58.34  	 28.67
1986	  11	  26	  81	 46.93  	 81.01  	 78.93  	 76.20  	 69.18  	 61.85  	 58.01  	 59.11  	 57.79  	 56.37  	 27.75
1986	  12	   4	  81	 40.59  	 79.48  	 79.26  	 75.96  	 67.60  	 61.55  	 58.59  	 60.34  	 58.80  	 58.37  	 29.13
1986	  12	  12	  81	 35.03  	 77.90  	 76.48  	 76.81  	 67.08  	 62.26  	 59.20  	 59.09  	 57.45  	 57.34  	 28.34
1986	  12	  19	  81	 36.10  	 74.95  	 73.31  	 71.78  	 63.58  	 61.17  	 58.66  	 58.44  	 56.69  	 56.36  	 28.73
1986	  12	  26	  81	 37.86  	 76.48  	 75.17  	 69.59  	 61.61  	 57.89  	 59.20  	 58.55  	 58.55  	 55.49  	 28.45
1987	   1	   2	  81	 35.52  	 74.98  	 73.47  	 68.71  	 58.21  	 57.34  	 57.88  	 58.32  	 56.80  	 56.15  	 27.59
1987	   1	   9	  81	 36.42  	 77.48  	 74.39  	 69.87  	 61.15  	 57.40  	 58.17  	 59.16  	 58.06  	 56.51  	 27.93
1987	   1	  16	  81	 40.20  	 79.50  	 78.63  	 72.25  	 61.27  	 59.40  	 58.41  	 58.30  	 58.96  	 56.44  	 28.16
1987	   1	  23	  81	 24.12  	 76.19  	 75.86  	 69.67  	 61.32  	 60.67  	 58.61  	 58.93  	 57.52  	 54.92  	 27.78
1987	   1	  30	  81	 37.60  	 78.69  	 74.15  	 68.64  	 59.55  	 59.77  	 58.47  	 58.37  	 58.04  	 56.42  	 28.05
1987	   2	   6	  81	 52.62  	 79.95  	 77.43  	 77.43  	 66.49  	 60.80  	 58.83  	 58.28  	 58.83  	 56.97  	 28.98
1987	   2	  13	  81	 38.06  	 78.69  	 77.16  	 75.53  	 67.22  	 62.20  	 58.60  	 59.03  	 58.38  	 56.74  	 28.15
1987	   2	  20	  81	 33.73  	 75.32  	 74.99  	 73.24  	 64.26  	 62.61  	 59.55  	 59.66  	 59.55  	 57.03  	 28.18
1987	   2	  27	  81	 35.87  	 74.16  	 73.72  	 70.64  	 61.40  	 60.08  	 58.32  	 60.85  	 58.98  	 56.89  	 28.61
1987	   3	   6	  81	 35.34  	 76.84  	 75.96  	 71.34  	 62.76  	 61.11  	 59.57  	 59.90  	 58.37  	 57.49  	 28.69
1987	   3	  11	  81	 27.05  	 73.76  	 74.75  	 69.47  	 62.10  	 58.69  	 58.59  	 59.57  	 57.49  	 57.49  	 28.52
1987	   3	  19	  81	 39.19  	 74.53  	 72.77  	 69.25  	 59.79  	 56.83  	 58.91  	 59.79  	 58.48  	 57.16  	 28.30
